ATF	1.0
30	28
"Checksum_ImageFile=de79368b08cf7ff4bb542265ab51d4d3"
"Checksum_ResultFile=f84efe6033a682c8d7d5f9a3c5ab156a"
"Type=Mapix Results 2"
"DateTime=2021/04/02 15:31:13"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0140_12860A01-D12_IgM_785\Joseph_2021-04-02_15h31m01_5µm_785nmGain000.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0140_12860A01-D12_IgM_785\Joseph_2021-04-02_15h31m01_5µm_785nmGain000.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=4500, 2400"
"ImageSize=16300.0, 70500.0"
"JpegOrigin=4466, 2630"
"JpegBrightness=49"
"JpegContrast=100"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=33.1"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=0"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4670.00	2835.00	151.85	0	Spot (Block1, Row1, Column1)	2565.82	2443.00	1069.39	0.02	0.42	154.00	156.05	154.00	25.14	0.01	0.16	100.00	100.00	0.00	2289.00	2411.82	1624161.00	95.85	724.04	542.50
1	2	1	4968.00	2833.00	155.80	0	Spot (Block1, Row1, Column2)	179.38	179.00	13.63	0.00	0.08	148.00	148.95	148.00	19.80	0.00	0.13	82.00	28.00	0.00	31.00	31.38	119649.00	1.54	163.85	167.00
1	3	1	5322.00	2824.00	177.25	0	Spot (Block1, Row1, Column3)	160.18	163.00	17.87	0.01	0.11	134.00	136.50	134.00	16.15	0.01	0.12	72.00	41.00	0.00	29.00	26.18	141121.00	1.47	149.93	151.00
1	4	1	5566.00	2841.00	202.70	0	Spot (Block1, Row1, Column4)	158.07	159.00	13.58	0.00	0.09	139.00	141.40	139.00	17.06	0.01	0.12	58.00	12.00	0.00	20.00	19.07	184152.00	0.98	146.21	145.00
1	5	1	5867.00	2835.00	147.00	-50	Spot (Block1, Row1, Column5)	159.80	161.00	14.61	0.00	0.09	143.00	143.82	143.00	16.02	0.00	0.11	55.00	12.00	0.00	18.00	16.80	93483.00	1.00	150.00	152.00
1	6	1	6168.00	2866.00	148.75	0	Spot (Block1, Row1, Column6)	167.30	169.00	14.89	0.00	0.09	137.00	139.03	137.00	15.31	0.01	0.11	83.00	55.00	0.00	32.00	30.30	101883.00	1.85	150.85	149.00
1	7	1	6487.00	2845.00	231.40	0	Spot (Block1, Row1, Column7)	158.41	160.00	17.71	0.00	0.11	139.00	140.01	139.00	15.85	0.00	0.11	59.00	27.00	0.00	21.00	19.41	243640.00	1.16	144.92	140.00
1	8	1	6784.00	2826.00	237.10	0	Spot (Block1, Row1, Column8)	160.94	160.00	16.32	0.00	0.10	137.00	138.84	137.00	14.10	0.01	0.10	67.00	40.00	0.00	23.00	23.94	260563.00	1.57	146.20	144.50
1	1	2	4666.00	3136.00	147.00	-50	Spot (Block1, Row2, Column1)	152.30	153.00	10.90	0.00	0.07	150.00	151.40	150.00	17.32	0.00	0.11	8.00	0.00	0.00	3.00	2.30	89703.00	0.05	149.63	149.00
1	2	2	4966.00	3135.00	147.00	-50	Spot (Block1, Row2, Column2)	147.95	144.00	15.94	0.01	0.11	142.00	143.45	142.00	15.11	0.00	0.11	28.00	10.00	0.00	2.00	5.95	86993.00	0.30	142.40	141.00
1	3	2	5266.00	3135.00	147.00	-50	Spot (Block1, Row2, Column3)	142.57	140.00	15.01	0.01	0.11	137.00	140.05	137.00	15.97	0.01	0.11	29.00	2.00	0.00	3.00	5.57	84119.00	0.16	133.02	131.00
1	4	2	5566.00	3135.00	147.00	-50	Spot (Block1, Row2, Column4)	157.95	162.00	15.75	0.01	0.10	143.00	145.19	143.00	16.47	0.01	0.11	56.00	9.00	0.00	19.00	14.95	93349.00	0.77	158.07	157.00
1	5	2	5872.00	3136.00	218.75	0	Spot (Block1, Row2, Column5)	241.96	245.00	36.35	0.01	0.15	142.00	143.59	142.00	16.38	0.00	0.11	99.00	98.00	0.00	103.00	99.96	331964.00	6.00	176.72	178.00
1	6	2	6155.00	3131.00	208.60	0	Spot (Block1, Row2, Column6)	154.96	161.00	20.52	0.02	0.13	134.00	136.60	134.00	15.67	0.01	0.11	62.00	40.00	0.00	27.00	20.96	191372.00	1.17	143.77	141.50
1	7	2	6441.00	3146.00	187.60	0	Spot (Block1, Row2, Column7)	158.00	161.00	14.12	0.01	0.09	136.00	138.44	136.00	15.52	0.01	0.11	70.00	27.00	0.00	25.00	22.00	156740.00	1.26	146.54	141.50
1	8	2	6767.00	3134.00	147.00	-50	Spot (Block1, Row2, Column8)	144.49	140.00	17.46	0.01	0.12	137.00	138.47	137.00	14.60	0.00	0.11	32.00	16.00	0.00	3.00	7.49	85103.00	0.41	146.41	145.00
1	1	3	4647.00	3433.00	287.50	0	Spot (Block1, Row3, Column1)	158.20	159.00	17.05	0.00	0.11	142.00	142.07	142.00	16.93	0.00	0.12	51.00	16.00	0.00	17.00	16.20	383484.00	0.95	150.77	153.00
1	2	3	4966.00	3435.00	147.00	-50	Spot (Block1, Row3, Column2)	152.39	151.00	13.16	0.00	0.09	140.00	141.78	140.00	15.54	0.01	0.11	39.00	10.00	0.00	11.00	12.39	89607.00	0.68	154.11	154.00
