ATF	1.0
30	28
"Checksum_ImageFile=9f3e288b10c013d6f9322b4033018e57"
"Checksum_ResultFile=aead1a7081329b5b91943a9eddd1ebcd"
"Type=Mapix Results 2"
"DateTime=2021/04/02 15:39:04"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0140_12860A01-D12_IgM_785\Joseph_2021-04-02_15h38m53_5µm_785nmGain001.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0140_12860A01-D12_IgM_785\Joseph_2021-04-02_15h38m53_5µm_785nmGain001.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4465, 2635"
"JpegBrightness=49"
"JpegContrast=57"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=33.0"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=1"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4668.00	2833.00	151.10	0	Spot (Block1, Row1, Column1)	10589.31	10107.50	4637.06	0.02	0.44	408.00	444.52	408.00	105.92	0.04	0.24	100.00	100.00	0.00	9699.50	10181.31	6607729.00	95.78	2829.24	1912.00
1	2	1	4982.00	2828.00	174.20	0	Spot (Block1, Row1, Column2)	489.29	496.00	58.55	0.01	0.12	401.00	420.01	401.00	69.36	0.02	0.17	72.00	15.00	0.00	95.00	88.29	412961.00	1.00	440.54	423.00
1	3	1	5283.00	2841.00	128.60	0	Spot (Block1, Row1, Column3)	440.29	411.00	53.14	0.03	0.12	392.00	389.04	392.00	43.04	0.00	0.11	40.00	36.00	0.00	19.00	48.29	195050.00	1.19	413.72	404.00
1	4	1	5556.00	2815.00	162.30	0	Spot (Block1, Row1, Column4)	492.15	489.00	45.92	0.00	0.09	398.00	402.88	398.00	52.57	0.01	0.13	85.00	20.00	0.00	91.00	94.15	357796.00	1.70	436.10	421.00
1	5	1	5874.00	2845.00	205.45	0	Spot (Block1, Row1, Column5)	451.70	426.00	58.94	0.03	0.13	399.00	407.90	399.00	59.56	0.01	0.15	48.00	8.00	0.00	27.00	52.70	543394.00	0.74	409.44	400.00
1	6	1	6167.00	2836.00	147.00	-50	Spot (Block1, Row1, Column6)	479.28	493.00	73.26	0.01	0.15	396.00	402.88	396.00	56.60	0.01	0.14	62.00	26.00	0.00	97.00	83.28	285171.00	1.35	456.25	461.00
1	7	1	6476.00	2835.00	153.75	0	Spot (Block1, Row1, Column7)	541.38	508.00	83.65	0.03	0.15	395.00	396.09	395.00	54.87	0.00	0.14	87.00	51.00	0.00	113.00	146.38	350271.00	2.65	455.47	442.50
1	8	1	6770.00	2821.00	187.50	0	Spot (Block1, Row1, Column8)	467.07	475.50	79.19	0.01	0.17	396.00	398.64	396.00	49.99	0.00	0.13	51.00	41.00	0.00	79.50	71.07	463334.00	1.37	426.81	405.50
1	1	2	4686.00	3122.00	216.95	0	Spot (Block1, Row2, Column1)	484.64	491.00	85.10	0.01	0.18	402.00	423.53	402.00	63.28	0.02	0.15	66.00	14.00	0.00	89.00	82.64	652320.00	0.97	456.86	466.00
1	2	2	4966.00	3137.00	147.00	-50	Spot (Block1, Row2, Column2)	426.62	413.00	47.84	0.01	0.11	393.00	395.45	393.00	51.64	0.00	0.13	30.00	13.00	0.00	20.00	33.62	252131.00	0.60	403.45	397.00
