ATF	1.0
30	28
"Checksum_ImageFile=9c6664835de46c1b5efd3db631e4463e"
"Checksum_ResultFile=8ab5ba1761d3a74343f6de7f34d31fff"
"Type=Mapix Results 2"
"DateTime=2021/04/02 15:47:01"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0140_12860A01-D12_IgM_785\Joseph_2021-04-02_15h46m49_5µm_785nmGain005.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0140_12860A01-D12_IgM_785\Joseph_2021-04-02_15h46m49_5µm_785nmGain005.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4460, 2630"
"JpegBrightness=47"
"JpegContrast=35"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=33.0"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=5"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4667.00	2833.00	150.80	0	Spot (Block1, Row1, Column1)	23839.10	22231.00	10854.01	0.03	0.46	885.00	909.33	885.00	249.58	0.01	0.27	100.00	100.00	0.00	21346.00	22954.10	14827921.00	91.87	6378.93	5354.00
1	2	1	4961.00	2840.00	155.95	0	Spot (Block1, Row1, Column2)	1042.49	1017.00	114.33	0.01	0.11	831.00	863.18	831.00	145.31	0.02	0.17	72.00	21.00	0.00	186.00	211.49	697429.00	1.23	887.22	886.00
1	3	1	5271.00	2845.00	179.70	0	Spot (Block1, Row1, Column3)	845.32	813.00	89.26	0.02	0.11	786.00	789.74	786.00	83.27	0.00	0.11	40.00	15.00	0.00	27.00	59.32	765015.00	0.67	790.27	791.00
1	4	1	5562.00	2816.00	171.40	0	Spot (Block1, Row1, Column4)	987.42	987.00	129.53	0.00	0.13	802.00	825.42	802.00	96.10	0.01	0.12	62.00	46.00	0.00	185.00	185.42	806724.00	1.69	888.33	889.00
1	5	1	5855.00	2845.00	167.20	0	Spot (Block1, Row1, Column5)	968.88	911.00	147.72	0.03	0.15	808.00	841.31	808.00	105.04	0.02	0.12	49.00	27.00	0.00	103.00	160.88	752823.00	1.21	884.90	873.50
1	6	1	6170.00	2837.00	184.75	0	Spot (Block1, Row1, Column6)	981.79	984.00	124.01	0.00	0.13	795.00	819.04	795.00	99.46	0.01	0.12	75.00	44.00	0.00	189.00	186.79	942523.00	1.64	876.17	888.00
1	7	1	6477.00	2833.00	167.05	0	Spot (Block1, Row1, Column7)	1099.54	1097.00	174.76	0.00	0.16	794.00	814.12	794.00	102.31	0.01	0.13	85.00	68.00	0.00	303.00	305.54	855441.00	2.79	907.99	908.00
1	8	1	6773.00	2823.00	226.80	0	Spot (Block1, Row1, Column8)	937.21	900.00	126.95	0.02	0.14	797.00	815.74	797.00	97.62	0.01	0.12	54.00	33.00	0.00	103.00	140.21	1384262.00	1.24	843.69	864.50
1	1	2	4670.00	3131.00	218.10	0	Spot (Block1, Row2, Column1)	976.02	977.00	139.51	0.00	0.14	873.00	869.81	873.00	113.38	0.00	0.13	42.00	6.00	0.00	104.00	103.02	1323478.00	0.94	907.72	898.50
1	2	2	4974.00	3144.00	133.35	0	Spot (Block1, Row2, Column2)	944.97	907.00	111.78	0.02	0.12	795.00	810.82	795.00	87.06	0.01	0.11	67.00	34.00	0.00	112.00	149.97	456422.00	1.54	852.37	825.00
