ATF	1.0
30	28
"Checksum_ImageFile=7a298c0fba2b9e9af8c6b82cf0eb6617"
"Checksum_ResultFile=6308eb670d85e9c4f16e1d356f53a559"
"Type=Mapix Results 2"
"DateTime=2021/04/02 15:54:58"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0140_12860A01-D12_IgM_785\Joseph_2021-04-02_15h54m46_785nmGain010.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0140_12860A01-D12_IgM_785\Joseph_2021-04-02_15h54m46_785nmGain010.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4465, 2630"
"JpegBrightness=46"
"JpegContrast=28"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=33.0"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=10"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4667.00	2833.00	150.90	0	Spot (Block1, Row1, Column1)	36225.41	34634.00	16007.01	0.02	0.44	1305.00	1354.28	1305.00	406.18	0.02	0.30	100.00	100.00	4.02	33329.00	34920.41	22532236.00	85.85	9718.41	7823.00
1	2	1	4947.00	2833.00	153.65	0	Spot (Block1, Row1, Column2)	1538.08	1494.00	184.23	0.01	0.12	1280.00	1306.81	1280.00	369.13	0.01	0.28	22.00	0.00	0.00	214.00	258.08	992062.00	0.63	1396.47	1368.00
1	3	1	5293.00	2840.00	172.35	0	Spot (Block1, Row1, Column3)	1291.11	1279.50	118.79	0.00	0.09	1186.00	1186.79	1186.00	109.79	0.00	0.09	41.00	14.00	0.00	93.50	105.11	1071619.00	0.95	1223.72	1205.00
1	4	1	5562.00	2816.00	170.65	0	Spot (Block1, Row1, Column4)	1473.19	1454.00	155.11	0.01	0.11	1207.50	1234.65	1207.50	131.33	0.01	0.11	78.00	46.00	0.00	246.50	265.69	1190340.00	1.82	1305.75	1288.00
1	5	1	5868.00	2842.00	166.15	0	Spot (Block1, Row1, Column5)	1481.22	1474.00	186.09	0.00	0.13	1251.00	1261.25	1251.00	141.86	0.00	0.11	58.00	32.00	0.00	223.00	230.22	1133133.00	1.55	1316.21	1288.00
1	6	1	6158.00	2828.00	216.30	0	Spot (Block1, Row1, Column6)	1423.55	1399.00	167.51	0.01	0.12	1207.00	1240.80	1207.00	129.45	0.01	0.10	65.00	38.00	0.00	192.00	216.55	1900442.00	1.41	1264.26	1242.00
1	7	1	6471.00	2832.00	168.15	0	Spot (Block1, Row1, Column7)	1644.22	1597.00	231.65	0.01	0.14	1204.00	1222.71	1204.00	126.35	0.01	0.10	97.00	72.00	0.00	393.00	440.22	1298930.00	3.34	1359.26	1330.50
1	8	1	6770.00	2832.00	204.90	0	Spot (Block1, Row1, Column8)	1392.25	1380.00	162.16	0.00	0.12	1200.00	1220.77	1200.00	131.16	0.01	0.11	55.00	32.00	0.00	180.00	192.25	1662343.00	1.31	1284.11	1283.00
1	1	2	4670.00	3145.00	229.30	0	Spot (Block1, Row2, Column1)	1409.49	1390.00	204.22	0.01	0.14	1279.00	1289.68	1279.00	150.65	0.00	0.12	34.00	12.00	0.00	111.00	130.49	2114229.00	0.80	1329.32	1303.00
1	2	2	4966.00	3135.00	147.00	-50	Spot (Block1, Row2, Column2)	1323.42	1291.50	125.50	0.01	0.09	1206.00	1221.99	1206.00	122.56	0.01	0.10	36.00	17.00	0.00	85.50	117.42	778169.00	0.83	1232.11	1201.00
