ATF	1.0
30	28
"Checksum_ImageFile=246ecefac2d18ef8a28c12485cb730e7"
"Checksum_ResultFile=50f7f9e9121aaa43e9dc41144d4aacad"
"Type=Mapix Results 2"
"DateTime=2021/04/02 16:02:55"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0140_12860A01-D12_IgM_785\Joseph_2021-04-02_16h02m42_785nmGain020.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0140_12860A01-D12_IgM_785\Joseph_2021-04-02_16h02m42_785nmGain020.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4460, 2635"
"JpegBrightness=44"
"JpegContrast=20"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.9"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=20"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4667.00	2833.00	152.35	0	Spot (Block1, Row1, Column1)	52014.77	59386.00	15123.93	0.06	0.29	2200.00	2281.31	2200.00	645.06	0.02	0.28	100.00	100.00	43.13	57186.00	49814.77	32925596.00	77.10	14980.95	11121.50
1	2	1	4959.00	2842.00	144.45	0	Spot (Block1, Row1, Column2)	2668.60	2675.00	281.56	0.00	0.11	2148.00	2185.58	2148.00	332.01	0.01	0.15	68.00	33.00	0.00	527.00	520.60	1513099.00	1.45	2390.49	2376.50
1	3	1	5273.00	2831.00	138.75	0	Spot (Block1, Row1, Column3)	2169.38	2116.00	181.17	0.01	0.08	1989.00	2015.85	1989.00	194.33	0.01	0.10	42.00	13.00	0.00	127.00	180.38	1134586.00	0.79	2044.78	2018.00
1	4	1	5563.00	2818.00	172.00	0	Spot (Block1, Row1, Column4)	2484.20	2440.00	252.96	0.01	0.10	2065.00	2092.20	2065.00	232.95	0.01	0.11	73.00	35.00	0.00	375.00	419.20	2044498.00	1.68	2232.64	2209.00
1	5	1	5866.00	2844.00	171.45	0	Spot (Block1, Row1, Column5)	2451.69	2430.50	269.16	0.00	0.11	2091.00	2136.24	2091.00	241.58	0.01	0.11	63.00	33.00	0.00	339.50	360.69	2005485.00	1.31	2258.19	2268.00
1	6	1	6172.00	2837.00	203.95	0	Spot (Block1, Row1, Column6)	2489.16	2475.50	243.33	0.00	0.10	2059.00	2082.42	2059.00	200.57	0.00	0.10	83.00	52.00	0.00	416.50	430.16	2927250.00	2.03	2244.17	2213.50
1	7	1	6471.00	2833.00	160.25	0	Spot (Block1, Row1, Column7)	2834.57	2799.00	346.27	0.01	0.12	2062.00	2080.11	2062.00	199.63	0.00	0.10	96.00	84.00	0.00	737.00	772.57	2009708.00	3.78	2336.18	2323.00
1	8	1	6771.00	2834.00	176.45	0	Spot (Block1, Row1, Column8)	2511.30	2472.50	288.35	0.01	0.11	2068.00	2075.72	2068.00	193.12	0.00	0.09	81.00	53.00	0.00	404.50	443.30	2184833.00	2.26	2230.35	2196.00
1	1	2	4673.00	3148.00	230.70	0	Spot (Block1, Row2, Column1)	2382.44	2325.00	312.60	0.01	0.13	2165.00	2184.06	2165.00	229.15	0.00	0.10	37.00	11.00	0.00	160.00	217.44	3652275.00	0.87	2279.55	2282.00
1	2	2	4955.00	3148.00	119.85	0	Spot (Block1, Row2, Column2)	2355.33	2367.50	183.87	0.00	0.08	2031.00	2054.74	2031.00	196.27	0.01	0.10	72.00	39.00	0.00	336.50	324.33	885605.00	1.53	2170.48	2182.00
1	3	2	5273.00	3138.00	202.00	0	Spot (Block1, Row2, Column3)	2254.71	2207.00	196.97	0.01	0.09	1993.00	2017.52	1993.00	175.65	0.01	0.09	61.00	30.00	0.00	214.00	261.71	2601936.00	1.35	2107.38	2086.00
1	4	2	5569.00	3153.00	220.30	0	Spot (Block1, Row2, Column4)	2392.56	2367.00	204.52	0.00	0.09	2081.00	2115.92	2081.00	244.41	0.01	0.12	58.00	19.00	0.00	286.00	311.56	3332838.00	1.13	2235.61	2229.00
1	5	2	5869.00	3138.00	208.15	0	Spot (Block1, Row2, Column5)	4540.53	4545.00	805.54	0.00	0.18	2088.00	2128.10	2088.00	254.11	0.01	0.12	100.00	100.00	0.00	2457.00	2452.53	5598471.00	9.49	2817.03	2788.50
1	6	2	6148.00	3131.00	210.25	0	Spot (Block1, Row2, Column6)	2361.96	2333.00	228.98	0.01	0.10	2021.00	2063.33	2021.00	199.49	0.01	0.10	72.00	33.00	0.00	312.00	340.96	2973705.00	1.50	2167.51	2181.00
1	7	2	6461.00	3143.00	197.85	0	Spot (Block1, Row2, Column7)	2277.75	2258.50	236.21	0.00	0.10	1996.00	2030.56	1996.00	192.97	0.01	0.10	62.00	27.00	0.00	262.50	281.75	2523752.00	1.28	2114.53	2086.50
1	8	2	6764.00	3137.00	213.65	0	Spot (Block1, Row2, Column8)	2242.32	2217.00	201.43	0.00	0.09	2012.00	2048.68	2012.00	187.72	0.01	0.09	53.00	27.00	0.00	205.00	230.32	2919498.00	1.03	2131.64	2100.50
1	1	3	4657.00	3425.00	176.80	0	Spot (Block1, Row3, Column1)	2744.63	2671.00	337.06	0.01	0.12	2077.50	2093.58	2077.50	195.93	0.00	0.09	96.00	80.00	0.00	593.50	667.13	2398804.00	3.32	2361.83	2381.00
1	2	3	4960.00	3428.00	209.55	0	Spot (Block1, Row3, Column2)	2189.20	2171.00	186.83	0.00	0.09	1995.00	2031.95	1995.00	253.63	0.01	0.12	33.00	7.00	0.00	176.00	194.20	2743070.00	0.62	2105.03	2092.00
1	3	3	5267.00	3427.00	139.85	0	Spot (Block1, Row3, Column3)	2911.74	2773.50	691.55	0.02	0.24	2012.00	2055.83	2012.00	220.45	0.01	0.11	99.00	88.00	0.00	761.50	899.74	1554870.00	3.88	2423.40	2398.00
1	4	3	5560.00	3435.00	198.75	0	Spot (Block1, Row3, Column4)	2563.32	2517.00	296.79	0.01	0.12	2070.00	2096.39	2070.00	276.02	0.01	0.13	79.00	32.00	0.00	447.00	493.32	2860665.00	1.69	2224.46	2168.00
1	5	3	5875.00	3431.00	176.50	0	Spot (Block1, Row3, Column5)	2576.93	2540.50	294.86	0.01	0.11	2078.00	2105.98	2078.00	196.47	0.01	0.09	83.00	57.00	0.00	462.50	498.93	2241932.00	2.40	2222.28	2190.00
1	6	3	6170.00	3433.00	183.85	0	Spot (Block1, Row3, Column6)	2368.97	2281.00	253.49	0.02	0.11	2017.00	2051.03	2017.00	190.41	0.01	0.09	64.00	41.00	0.00	264.00	351.97	2255255.00	1.67	2152.41	2072.00
1	7	3	6447.00	3430.00	192.55	0	Spot (Block1, Row3, Column7)	2252.64	2214.00	235.55	0.01	0.10	1989.00	2018.33	1989.00	206.26	0.01	0.10	53.00	28.00	0.00	225.00	263.64	2369781.00	1.14	2116.53	2101.00
1	8	3	6776.00	3418.00	179.10	0	Spot (Block1, Row3, Column8)	2360.69	2311.50	242.56	0.01	0.10	2002.00	2046.99	2002.00	194.06	0.01	0.09	70.00	39.00	0.00	309.50	358.69	2124624.00	1.62	2216.51	2182.00
1	1	4	4665.00	3734.00	202.25	0	Spot (Block1, Row4, Column1)	2378.33	2348.50	355.95	0.01	0.15	1988.00	2002.42	1988.00	167.53	0.00	0.08	72.00	53.00	0.00	360.50	390.33	2768375.00	2.24	2097.12	2071.00
1	2	4	4966.00	3745.00	207.15	0	Spot (Block1, Row4, Column2)	2215.99	2196.00	167.96	0.00	0.08	1997.00	2028.21	1997.00	261.82	0.01	0.13	37.00	2.00	0.00	199.00	218.99	2696855.00	0.72	2118.64	2094.00
1	3	4	5265.00	3734.00	148.30	0	Spot (Block1, Row4, Column3)	3808.39	3816.00	650.36	0.00	0.17	2066.00	2087.95	2066.00	224.82	0.00	0.11	100.00	99.00	0.00	1750.00	1742.39	2273611.00	7.65	2591.91	2600.50
1	4	4	5572.00	3745.00	195.00	0	Spot (Block1, Row4, Column4)	2319.00	2323.50	215.65	0.00	0.09	2076.00	2102.77	2076.00	274.53	0.01	0.13	45.00	5.00	0.00	247.50	243.00	2485972.00	0.79	2236.82	2199.00
