ATF	1.0
30	28
"Checksum_ImageFile=f10d8b5448d9d4c9b4ca57702adedbf3"
"Checksum_ResultFile=29b11e49ea94ff532f0915ac818deff7"
"Type=Mapix Results 2"
"DateTime=2021/04/02 16:10:52"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0140_12860A01-D12_IgM_785\Joseph_2021-04-02_16h10m40_5µm_785nmGain025.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0140_12860A01-D12_IgM_785\Joseph_2021-04-02_16h10m40_5µm_785nmGain025.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4465, 2635"
"JpegBrightness=44"
"JpegContrast=18"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.9"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=25"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4667.00	2833.00	152.85	0	Spot (Block1, Row1, Column1)	55532.02	65535.00	13102.71	0.07	0.24	2603.50	2700.80	2603.50	810.33	0.02	0.30	100.00	100.00	52.51	62931.50	52928.52	35429716.00	65.20	16882.44	12365.50
1	2	1	4951.00	2841.00	149.85	0	Spot (Block1, Row1, Column2)	3115.85	3104.00	292.27	0.00	0.09	2555.00	2599.27	2555.00	644.22	0.01	0.25	38.00	0.00	0.00	549.00	560.85	1916250.00	0.80	2784.91	2775.50
1	3	1	5297.00	2848.00	186.85	0	Spot (Block1, Row1, Column3)	2562.45	2505.00	185.36	0.01	0.07	2372.00	2387.54	2372.00	236.28	0.00	0.10	38.00	8.00	0.00	133.00	190.45	2521450.00	0.74	2468.53	2440.50
1	4	1	5560.00	2819.00	161.95	0	Spot (Block1, Row1, Column4)	2964.50	2957.00	306.84	0.00	0.10	2458.00	2489.54	2458.00	262.27	0.01	0.11	76.00	46.00	0.00	499.00	506.50	2167050.00	1.81	2655.39	2667.00
1	5	1	5872.00	2847.00	188.35	0	Spot (Block1, Row1, Column5)	2873.23	2799.50	300.20	0.01	0.10	2486.00	2526.00	2486.00	278.47	0.01	0.11	56.00	24.00	0.00	313.50	387.23	2901958.00	1.25	2645.52	2600.00
1	6	1	6160.00	2822.00	206.80	0	Spot (Block1, Row1, Column6)	2969.44	2927.00	309.90	0.01	0.10	2467.00	2484.16	2467.00	219.91	0.00	0.09	83.00	52.00	0.00	460.00	502.44	3628657.00	2.21	2621.57	2600.00
1	7	1	6475.00	2831.00	167.70	0	Spot (Block1, Row1, Column7)	3332.00	3296.50	397.58	0.00	0.12	2447.00	2463.49	2447.00	219.95	0.00	0.09	98.00	85.00	0.00	849.50	885.00	2592296.00	3.95	2732.75	2722.00
1	8	1	6776.00	2826.00	205.30	0	Spot (Block1, Row1, Column8)	2879.35	2870.00	273.00	0.00	0.09	2469.00	2475.20	2469.00	219.35	0.00	0.09	74.00	43.00	0.00	401.00	410.35	3460984.00	1.84	2661.98	2632.50
1	1	2	4675.00	3143.00	207.70	0	Spot (Block1, Row2, Column1)	2877.44	2786.00	414.50	0.01	0.14	2567.00	2597.60	2567.00	265.83	0.01	0.10	44.00	23.00	0.00	219.00	310.44	3539247.00	1.05	2740.72	2686.00
1	2	2	4966.00	3137.00	147.00	-50	Spot (Block1, Row2, Column2)	2670.68	2644.50	237.66	0.00	0.09	2399.00	2441.59	2399.00	240.78	0.01	0.10	50.00	18.00	0.00	245.50	271.68	1586383.00	0.95	2422.99	2395.50
1	3	2	5271.00	3138.00	214.30	0	Spot (Block1, Row2, Column3)	2658.77	2630.00	223.77	0.00	0.08	2380.00	2401.58	2380.00	205.83	0.00	0.09	57.00	26.00	0.00	250.00	278.77	3488306.00	1.25	2475.65	2470.00
1	4	2	5562.00	3149.00	219.00	0	Spot (Block1, Row2, Column4)	2813.21	2780.50	242.23	0.01	0.09	2477.00	2518.38	2477.00	274.24	0.01	0.11	55.00	22.00	0.00	303.50	336.21	3854092.00	1.08	2607.83	2590.00
1	5	2	5870.00	3139.00	208.40	0	Spot (Block1, Row2, Column5)	5329.10	5266.00	938.33	0.01	0.18	2496.00	2538.81	2496.00	295.21	0.01	0.12	99.00	99.00	0.00	2770.00	2833.10	6560116.00	9.45	3413.27	3416.00
1	6	2	6152.00	3132.00	199.70	0	Spot (Block1, Row2, Column6)	2907.05	2879.50	273.16	0.00	0.09	2452.00	2476.69	2452.00	214.91	0.00	0.09	79.00	49.00	0.00	427.50	455.05	3284968.00	2.00	2660.04	2637.50
1	7	2	6460.00	3150.00	179.45	0	Spot (Block1, Row2, Column7)	2770.76	2751.00	267.98	0.00	0.10	2398.00	2421.02	2398.00	210.00	0.00	0.09	70.00	38.00	0.00	353.00	372.76	2479827.00	1.67	2585.23	2573.50
1	8	2	6780.00	3137.00	216.40	0	Spot (Block1, Row2, Column8)	2728.06	2722.00	211.28	0.00	0.08	2397.00	2432.84	2397.00	215.30	0.01	0.09	66.00	35.00	0.00	325.00	331.06	3650147.00	1.37	2532.19	2510.50
1	1	3	4655.00	3431.00	162.10	0	Spot (Block1, Row3, Column1)	3385.91	3355.50	350.85	0.00	0.10	2476.00	2487.17	2476.00	216.52	0.00	0.09	99.00	93.00	0.00	879.50	909.91	2464944.00	4.15	2839.49	2828.00
1	2	3	4973.00	3430.00	187.45	0	Spot (Block1, Row3, Column2)	2668.98	2663.00	195.10	0.00	0.07	2388.00	2420.44	2388.00	266.61	0.01	0.11	51.00	12.00	0.00	275.00	280.98	2639626.00	0.93	2490.44	2487.00
1	3	3	5269.00	3432.00	141.65	0	Spot (Block1, Row3, Column3)	3440.10	3322.50	798.68	0.02	0.23	2431.00	2457.11	2431.00	242.08	0.00	0.10	99.00	81.00	0.00	891.50	1009.10	1878296.00	4.06	2912.68	2866.00
1	4	3	5559.00	3424.00	189.40	0	Spot (Block1, Row3, Column4)	3140.77	3063.00	414.96	0.01	0.13	2481.00	2501.10	2481.00	212.42	0.00	0.08	87.00	67.00	0.00	582.00	659.77	3181598.00	3.01	2693.66	2688.00
1	5	3	5869.00	3436.00	182.15	0	Spot (Block1, Row3, Column5)	3036.63	2961.50	348.63	0.01	0.11	2498.00	2525.30	2498.00	221.14	0.00	0.09	86.00	51.00	0.00	463.50	538.63	2836216.00	2.31	2689.23	2689.00
1	6	3	6166.00	3436.00	203.35	0	Spot (Block1, Row3, Column6)	2784.37	2759.00	256.74	0.00	0.09	2417.00	2452.67	2417.00	212.70	0.01	0.09	70.00	36.00	0.00	342.00	367.37	3254929.00	1.56	2599.12	2594.00
1	7	3	6465.00	3440.00	165.90	0	Spot (Block1, Row3, Column7)	2784.78	2717.00	259.48	0.01	0.09	2382.00	2402.19	2382.00	209.90	0.00	0.09	72.00	40.00	0.00	335.00	402.78	2124790.00	1.82	2515.79	2480.50
1	8	3	6781.00	3446.00	178.60	0	Spot (Block1, Row3, Column8)	2797.21	2812.00	288.13	0.00	0.10	2423.00	2451.95	2423.00	225.64	0.01	0.09	63.00	44.00	0.00	389.00	374.21	2506303.00	1.53	2634.56	2631.00
1	1	4	4672.00	3741.00	170.65	0	Spot (Block1, Row4, Column1)	2985.48	2916.00	421.22	0.01	0.14	2364.50	2379.57	2364.50	190.04	0.00	0.08	90.00	71.00	0.00	551.50	620.98	2415250.00	3.19	2545.29	2535.50
1	2	4	4971.00	3752.00	193.50	0	Spot (Block1, Row4, Column2)	2641.32	2608.50	196.52	0.01	0.07	2380.00	2407.80	2380.00	274.53	0.01	0.11	45.00	8.00	0.00	228.50	261.32	2773389.00	0.85	2492.61	2473.00
1	3	4	5263.00	3732.00	148.25	0	Spot (Block1, Row4, Column3)	4509.50	4473.50	750.24	0.00	0.17	2466.50	2484.60	2466.50	252.52	0.00	0.10	99.00	99.00	0.00	2007.00	2043.00	2705700.00	8.02	3140.33	3122.50
1	4	4	5571.00	3725.00	214.85	0	Spot (Block1, Row4, Column4)	2736.43	2709.00	382.71	0.00	0.14	2478.00	2497.77	2478.00	226.64	0.00	0.09	51.00	17.00	0.00	231.00	258.43	3612081.00	1.05	2638.25	2506.50
1	5	4	5861.00	3740.00	204.45	0	Spot (Block1, Row4, Column5)	2974.64	2976.00	371.88	0.00	0.13	2476.00	2502.74	2476.00	258.07	0.00	0.10	73.00	48.00	0.00	500.00	498.64	3539826.00	1.83	2671.51	2630.00
1	6	4	6156.00	3723.00	212.70	0	Spot (Block1, Row4, Column6)	5196.31	5229.50	908.14	0.00	0.17	2402.00	2444.37	2402.00	255.05	0.01	0.10	100.00	99.00	0.00	2827.50	2794.31	6682457.00	10.79	3333.41	3363.00
1	7	4	6449.00	3753.00	154.25	0	Spot (Block1, Row4, Column7)	3660.48	3059.00	2038.28	0.08	0.56	2338.00	2363.79	2338.00	221.71	0.00	0.09	92.00	74.00	0.00	721.00	1322.48	2393952.00	5.85	2924.62	2743.50
1	8	4	6771.00	3741.00	162.05	0	Spot (Block1, Row4, Column8)	3157.23	3151.00	372.74	0.00	0.12	2384.00	2403.47	2384.00	235.56	0.00	0.10	91.00	78.00	0.00	767.00	773.23	2285836.00	3.20	2656.21	2611.00
1	1	5	4667.00	4035.00	152.25	0	Spot (Block1, Row5, Column1)	3247.49	3152.00	412.29	0.01	0.13	2327.00	2359.08	2327.00	206.34	0.01	0.09	98.00	92.00	0.00	825.00	920.49	2055658.00	4.31	2662.10	2653.50
1	2	5	4976.00	4047.00	211.90	0	Spot (Block1, Row5, Column2)	2816.80	2791.00	236.00	0.00	0.08	2410.50	2442.80	2410.50	198.20	0.01	0.08	81.00	45.00	0.00	380.50	406.30	3599874.00	1.89	2623.26	2614.50
1	3	5	5276.00	4041.00	227.50	0	Spot (Block1, Row5, Column3)	2949.62	2911.00	297.20	0.01	0.10	2490.00	2522.65	2490.00	216.58	0.01	0.09	77.00	48.00	0.00	421.00	459.62	4391981.00	1.97	2646.14	2603.00
1	4	5	5563.00	4029.00	194.70	0	Spot (Block1, Row5, Column4)	2979.96	2940.50	277.88	0.01	0.09	2478.00	2508.86	2478.00	234.79	0.01	0.09	83.00	49.00	0.00	462.50	501.96	3194518.00	2.01	2717.98	2682.50
1	5	5	5863.00	4029.00	154.00	0	Spot (Block1, Row5, Column5)	4363.26	4287.50	777.09	0.01	0.18	2418.00	2468.00	2418.00	264.85	0.01	0.11	99.00	99.00	0.00	1869.50	1945.26	2844846.00	7.16	3017.22	3036.50
1	6	5	6164.00	4026.00	190.80	0	Spot (Block1, Row5, Column6)	2772.54	2764.50	285.55	0.00	0.10	2358.00	2387.87	2358.00	268.86	0.01	0.11	64.00	38.00	0.00	406.50	414.54	2839079.00	1.43	2580.96	2583.00
1	7	5	6480.00	4044.00	196.20	0	Spot (Block1, Row5, Column7)	2696.10	2642.00	335.73	0.01	0.12	2264.00	2297.83	2264.00	230.57	0.01	0.10	69.00	40.00	0.00	378.00	432.10	2941445.00	1.73	2472.75	2410.00
1	8	5	6768.00	4036.00	168.80	0	Spot (Block1, Row5, Column8)	3038.63	2878.50	681.44	0.02	0.22	2299.00	2339.39	2299.00	231.06	0.01	0.10	92.00	64.00	0.00	579.50	739.63	2412676.00	3.03	2510.32	2519.00
1	1	6	4664.00	4335.00	201.25	0	Spot (Block1, Row6, Column1)	2611.76	2589.50	226.02	0.00	0.09	2298.00	2317.59	2298.00	183.02	0.00	0.08	66.00	38.00	0.00	291.50	313.76	3003526.00	1.61	2426.63	2420.50
1	2	6	4974.00	4325.00	203.00	0	Spot (Block1, Row6, Column2)	2767.56	2715.00	292.40	0.01	0.11	2399.00	2435.30	2399.00	210.26	0.01	0.09	63.00	40.00	0.00	316.00	368.56	3268487.00	1.58	2565.15	2505.50
1	3	6	5262.00	4333.00	181.25	0	Spot (Block1, Row6, Column3)	3227.26	3164.00	406.17	0.01	0.13	2456.00	2472.61	2456.00	209.32	0.00	0.08	92.00	78.00	0.00	708.00	771.26	2969082.00	3.61	2779.04	2768.50
1	4	6	5569.00	4314.00	194.85	0	Spot (Block1, Row6, Column4)	2896.87	2879.00	277.25	0.00	0.10	2400.00	2433.69	2400.00	222.58	0.01	0.09	86.00	55.00	0.00	479.00	496.87	3114133.00	2.08	2587.58	2530.00
1	5	6	5872.00	4337.00	152.30	0	Spot (Block1, Row6, Column5)	3843.37	3851.50	654.96	0.00	0.17	2334.00	2367.18	2334.00	290.04	0.01	0.12	99.00	96.00	0.00	1517.50	1509.37	2444386.00	5.09	2827.58	2856.50
1	6	6	6183.00	4339.00	203.05	0	Spot (Block1, Row6, Column6)	2592.58	2588.00	255.88	0.00	0.10	2251.00	2283.73	2251.00	287.84	0.01	0.13	54.00	18.00	0.00	337.00	341.58	3030728.00	1.07	2437.25	2388.50
1	7	6	6467.00	4340.00	195.65	0	Spot (Block1, Row6, Column7)	2721.30	2666.00	305.17	0.01	0.11	2219.00	2264.96	2219.00	228.63	0.01	0.10	80.00	48.00	0.00	447.00	502.30	2941729.00	2.00	2431.20	2442.00
1	8	6	6786.00	4347.00	184.25	0	Spot (Block1, Row6, Column8)	2826.91	2761.50	347.54	0.01	0.12	2332.00	2369.90	2332.00	246.89	0.01	0.10	79.00	41.00	0.00	429.50	494.91	2691222.00	1.85	2562.93	2586.00
1	1	7	4669.00	4630.00	204.55	0	Spot (Block1, Row7, Column1)	2572.24	2591.00	183.97	0.00	0.07	2288.00	2327.66	2288.00	280.97	0.01	0.12	54.00	6.00	0.00	303.00	284.24	3068678.00	0.87	2427.75	2431.00
1	2	7	4983.00	4643.00	189.70	0	Spot (Block1, Row7, Column2)	2665.40	2614.00	241.19	0.01	0.09	2339.00	2371.39	2339.00	229.08	0.01	0.10	59.00	28.00	0.00	275.00	326.40	2713375.00	1.28	2531.09	2511.00
1	3	7	5272.00	4619.00	196.05	0	Spot (Block1, Row7, Column3)	2697.53	2702.00	299.95	0.00	0.11	2368.00	2392.62	2368.00	215.93	0.00	0.09	62.00	34.00	0.00	334.00	329.53	2932214.00	1.41	2516.92	2477.00
