ATF	1.0
30	28
"Checksum_ImageFile=a17bb6ec610d220871dcd4d7dd7f3a10"
"Checksum_ResultFile=28b969f1fb409df4325d61e805f87cf7"
"Type=Mapix Results 2"
"DateTime=2021/04/02 16:18:50"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0140_12860A01-D12_IgM_785\Joseph_2021-04-02_16h18m37_5µm_785nmGain050.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0140_12860A01-D12_IgM_785\Joseph_2021-04-02_16h18m37_5µm_785nmGain050.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4465, 2635"
"JpegBrightness=41"
"JpegContrast=13"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.9"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=50"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4666.00	2833.00	156.35	0	Spot (Block1, Row1, Column1)	64030.36	65535.00	4178.06	0.01	0.07	4853.00	4990.28	4853.00	1401.50	0.01	0.28	100.00	100.00	82.17	60682.00	59177.36	43092836.00	42.13	22900.40	19471.50
1	2	1	4957.00	2834.00	140.50	0	Spot (Block1, Row1, Column2)	5893.73	5803.50	557.09	0.01	0.09	4721.00	4805.38	4721.00	1093.77	0.01	0.23	49.00	5.00	0.00	1082.50	1172.73	3147251.00	1.00	5213.01	5212.50
1	3	1	5274.00	2841.00	170.40	0	Spot (Block1, Row1, Column3)	4721.31	4705.00	285.10	0.00	0.06	4380.00	4414.62	4380.00	371.23	0.00	0.08	44.00	6.00	0.00	325.00	341.31	3814815.00	0.83	4465.33	4438.00
1	4	1	5568.00	2816.00	164.75	0	Spot (Block1, Row1, Column4)	5511.71	5400.50	474.84	0.01	0.09	4538.00	4578.91	4538.00	438.56	0.00	0.10	89.00	48.00	0.00	862.50	973.71	4133784.00	2.13	4867.61	4869.00
1	5	1	5873.00	2836.00	196.35	0	Spot (Block1, Row1, Column5)	5364.67	5316.00	499.61	0.00	0.09	4607.00	4675.91	4607.00	435.85	0.01	0.09	73.00	37.00	0.00	709.00	757.67	5842127.00	1.58	5045.49	4912.00
1	6	1	6160.00	2831.00	204.90	0	Spot (Block1, Row1, Column6)	5372.84	5344.00	482.18	0.00	0.09	4555.00	4589.52	4555.00	358.61	0.00	0.08	80.00	56.00	0.00	789.00	817.84	6415168.00	2.18	4844.23	4777.50
1	7	1	6474.00	2833.00	161.50	0	Spot (Block1, Row1, Column7)	6287.29	6286.50	702.87	0.00	0.11	4554.00	4582.38	4554.00	344.95	0.00	0.08	99.00	94.00	0.00	1732.50	1733.29	4526851.00	4.94	5098.28	5147.00
1	8	1	6776.00	2826.00	199.45	0	Spot (Block1, Row1, Column8)	5324.73	5188.00	514.21	0.01	0.10	4563.00	4598.47	4563.00	325.61	0.00	0.07	82.00	48.00	0.00	625.00	761.73	6011615.00	2.23	4960.03	4871.50
1	1	2	4675.00	3138.00	185.70	0	Spot (Block1, Row2, Column1)	5299.12	5183.00	845.04	0.01	0.16	4761.00	4810.73	4761.00	454.91	0.00	0.09	46.00	15.00	0.00	422.00	538.12	5145449.00	1.07	5060.25	5009.00
1	2	2	4964.00	3140.00	105.95	0	Spot (Block1, Row2, Column2)	5135.85	5088.00	364.39	0.00	0.07	4487.00	4539.27	4487.00	406.71	0.01	0.09	70.00	34.00	0.00	601.00	648.85	1504804.00	1.47	4834.84	4799.00
