ATF	1.0
30	28
"Checksum_ImageFile=1189166b022be92248cff41ca0ba3f5c"
"Checksum_ResultFile=89f136a3ad131ebe06031b87c47b5f5f"
"Type=Mapix Results 2"
"DateTime=2021/04/02 16:26:48"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0140_12860A01-D12_IgM_785\Joseph_2021-04-02_16h26m36_5µm_785nmGain075.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0140_12860A01-D12_IgM_785\Joseph_2021-04-02_16h26m36_5µm_785nmGain075.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4465, 2635"
"JpegBrightness=39"
"JpegContrast=13"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.8"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=75"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4668.00	2833.00	159.70	0	Spot (Block1, Row1, Column1)	64953.57	65535.00	3221.16	0.00	0.05	6701.00	6869.98	6701.00	1833.59	0.01	0.27	100.00	100.00	93.78	58834.00	58252.57	45922620.00	31.68	25816.35	23572.50
1	2	1	4962.00	2838.00	138.20	0	Spot (Block1, Row1, Column2)	8043.82	7938.50	734.63	0.01	0.09	6511.00	6599.66	6511.00	1100.66	0.01	0.17	72.00	12.00	0.00	1427.50	1532.82	4166701.00	1.31	7215.22	7249.00
1	3	1	5289.00	2848.00	171.05	0	Spot (Block1, Row1, Column3)	6494.18	6513.00	332.90	0.00	0.05	6019.00	6072.05	6019.00	463.76	0.00	0.08	52.00	5.00	0.00	494.00	475.18	5312238.00	0.91	6210.45	6179.50
1	4	1	5567.00	2812.00	169.35	0	Spot (Block1, Row1, Column4)	7452.41	7419.50	567.61	0.00	0.08	6241.00	6324.82	6241.00	572.11	0.01	0.09	86.00	52.00	0.00	1178.50	1211.41	5991734.00	1.97	6711.37	6632.00
1	5	1	5873.00	2840.00	197.90	0	Spot (Block1, Row1, Column5)	7402.63	7279.00	676.74	0.01	0.09	6404.00	6467.48	6404.00	573.96	0.00	0.09	76.00	34.00	0.00	875.00	998.63	8224324.00	1.63	6793.95	6576.50
1	6	1	6168.00	2830.00	197.55	0	Spot (Block1, Row1, Column6)	7578.82	7532.50	625.02	0.00	0.08	6314.00	6350.03	6314.00	428.66	0.00	0.07	90.00	71.00	0.00	1218.50	1264.82	8382177.00	2.87	6832.51	6772.00
1	7	1	6472.00	2832.00	161.00	0	Spot (Block1, Row1, Column7)	8573.29	8461.00	919.94	0.01	0.11	6301.00	6347.89	6301.00	430.92	0.00	0.07	99.00	96.00	0.00	2160.00	2272.29	6189917.00	5.16	7145.27	7164.50
1	8	1	6779.00	2830.00	191.95	0	Spot (Block1, Row1, Column8)	7419.67	7372.00	570.16	0.00	0.08	6295.00	6332.76	6295.00	416.71	0.00	0.07	91.00	65.00	0.00	1077.00	1124.67	7709040.00	2.61	6850.36	6799.00
1	1	2	4668.00	3138.00	214.20	0	Spot (Block1, Row2, Column1)	7297.56	7210.00	859.35	0.01	0.12	6530.00	6591.57	6530.00	568.17	0.00	0.09	57.00	20.00	0.00	680.00	767.56	9537909.00	1.24	6944.25	6893.00
1	2	2	4963.00	3149.00	120.50	0	Spot (Block1, Row2, Column2)	7128.31	7056.00	470.65	0.00	0.07	6187.00	6248.40	6187.00	491.13	0.00	0.08	80.00	42.00	0.00	869.00	941.31	2715886.00	1.79	6566.63	6542.50
