ATF	1.0
30	28
"Checksum_ImageFile=930fd5bbe72b8d704e964d1b6a863bc7"
"Checksum_ResultFile=89a2bab734aa17b52bd9716da7810fb9"
"Type=Mapix Results 2"
"DateTime=2021/04/02 16:34:46"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0140_12860A01-D12_IgM_785\Joseph_2021-04-02_16h34m34_5µm_785nmGain100.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0140_12860A01-D12_IgM_785\Joseph_2021-04-02_16h34m34_5µm_785nmGain100.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4465, 2635"
"JpegBrightness=38"
"JpegContrast=14"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.8"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=100"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4668.00	2833.00	165.30	0	Spot (Block1, Row1, Column1)	64962.11	65535.00	3050.86	0.00	0.05	8869.00	9075.37	8869.00	2137.12	0.01	0.24	100.00	100.00	95.62	56666.00	56093.11	48981920.00	26.15	27318.68	24911.00
1	2	1	4950.00	2827.00	161.30	0	Spot (Block1, Row1, Column2)	10299.20	10228.50	756.12	0.00	0.07	8651.00	8807.66	8651.00	1945.04	0.01	0.22	30.00	0.00	0.00	1577.50	1648.20	7374226.00	0.77	9490.25	9317.00
1	3	1	5306.00	2859.00	163.35	0	Spot (Block1, Row1, Column3)	8651.27	8574.00	416.69	0.00	0.05	8029.00	8065.57	8029.00	524.73	0.00	0.07	51.00	16.00	0.00	545.00	622.27	6393289.00	1.12	8371.80	8329.00
1	4	1	5566.00	2814.00	170.25	0	Spot (Block1, Row1, Column4)	9880.74	9885.00	776.60	0.00	0.08	8344.50	8418.59	8344.50	747.68	0.00	0.09	83.00	52.00	0.00	1540.50	1536.24	7953998.00	1.96	8788.19	8572.00
1	5	1	5873.00	2842.00	188.85	0	Spot (Block1, Row1, Column5)	9814.61	9691.50	729.53	0.01	0.07	8492.00	8593.65	8492.00	757.48	0.01	0.09	79.00	32.00	0.00	1199.50	1322.61	9873502.00	1.61	9140.14	9050.00
1	6	1	6169.00	2830.00	193.25	0	Spot (Block1, Row1, Column6)	9912.79	9939.50	834.60	0.00	0.08	8358.00	8436.22	8358.00	532.95	0.00	0.06	87.00	67.00	0.00	1581.50	1554.79	10487737.00	2.77	9009.69	9003.00
1	7	1	6472.00	2831.00	166.55	0	Spot (Block1, Row1, Column7)	11163.56	11040.00	1115.67	0.00	0.10	8347.50	8410.49	8347.50	515.65	0.00	0.06	99.00	96.00	0.00	2692.50	2816.06	8584779.00	5.34	9325.64	9332.50
1	8	1	6779.00	2832.00	207.10	0	Spot (Block1, Row1, Column8)	9858.37	9795.00	718.69	0.00	0.07	8390.00	8423.36	8390.00	474.84	0.00	0.06	93.00	76.00	0.00	1405.00	1468.37	12066643.00	3.02	9015.80	8916.00
1	1	2	4674.00	3138.00	216.60	0	Spot (Block1, Row2, Column1)	9606.64	9470.00	1178.50	0.01	0.12	8683.00	8766.39	8683.00	719.28	0.00	0.08	54.00	17.00	0.00	787.00	923.64	12863293.00	1.17	9137.25	9094.50
1	2	2	4968.00	3136.00	147.00	-50	Spot (Block1, Row2, Column2)	9013.37	8972.00	605.87	0.00	0.07	8191.00	8291.21	8191.00	648.85	0.01	0.08	62.00	24.00	0.00	781.00	822.37	5326903.00	1.11	8244.32	8281.00
