ATF	1.0
30	28
"Checksum_ImageFile=b7f61649942a789146a49fe77112c0ab"
"Checksum_ResultFile=aaecbaab126946f951d154bb36d212eb"
"Type=Mapix Results 2"
"DateTime=2021/04/02 16:47:20"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0141_12860A01-D12_IgM_785\Joseph_2021-04-02_16h47m08_5µm_785nmGain000.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0141_12860A01-D12_IgM_785\Joseph_2021-04-02_16h47m08_5µm_785nmGain000.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=4500, 2400"
"ImageSize=16300.0, 70500.0"
"JpegOrigin=4421, 2630"
"JpegBrightness=49"
"JpegContrast=100"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.6"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=0"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4647.00	2823.00	187.80	0	Spot (Block1, Row1, Column1)	1379.02	1145.00	1211.11	0.08	0.88	190.00	199.65	190.00	109.18	0.02	0.55	65.00	63.00	0.00	955.00	1189.02	1367989.00	10.80	813.25	210.00
1	2	1	4856.00	2881.00	168.75	0	Spot (Block1, Row1, Column2)	215.11	215.00	15.32	0.00	0.07	188.00	188.31	188.00	26.74	0.00	0.14	50.00	4.00	0.00	27.00	27.11	170794.00	1.00	200.88	200.50
1	3	1	5223.00	2831.00	147.00	-50	Spot (Block1, Row1, Column3)	197.61	199.00	16.48	0.00	0.08	188.00	186.94	188.00	16.27	0.00	0.09	34.00	6.00	0.00	11.00	9.61	115996.00	0.66	189.79	191.00
1	4	1	5495.00	2807.00	157.90	0	Spot (Block1, Row1, Column4)	222.87	217.00	20.77	0.01	0.09	187.00	186.00	187.00	17.08	0.00	0.09	82.00	42.00	0.00	30.00	35.87	153557.00	2.16	198.80	197.00
1	5	1	5823.00	2831.00	147.00	-50	Spot (Block1, Row1, Column5)	208.49	209.00	11.47	0.00	0.06	189.00	187.12	189.00	17.61	0.00	0.09	61.00	7.00	0.00	20.00	19.49	122383.00	1.21	203.91	206.00
1	6	1	6121.00	2823.00	178.55	0	Spot (Block1, Row1, Column6)	216.58	213.00	19.93	0.01	0.09	184.00	183.38	184.00	17.32	0.00	0.09	83.00	34.00	0.00	29.00	32.58	193620.00	1.92	200.28	202.00
1	7	1	6436.00	2802.00	177.25	0	Spot (Block1, Row1, Column7)	211.84	212.00	16.97	0.00	0.08	184.00	183.73	184.00	16.33	0.00	0.09	74.00	38.00	0.00	28.00	27.84	186847.00	1.72	197.44	195.00
1	8	1	6723.00	2831.00	147.00	-50	Spot (Block1, Row1, Column8)	199.63	199.00	11.36	0.00	0.06	193.00	192.80	193.00	16.45	0.00	0.09	19.00	1.00	0.00	6.00	6.63	117180.00	0.41	194.80	195.00
1	1	2	4623.00	3130.00	147.00	-50	Spot (Block1, Row2, Column1)	193.02	193.00	10.52	0.00	0.05	190.00	193.30	190.00	55.27	0.01	0.29	0.00	0.00	0.00	3.00	3.02	113497.00	-0.01	194.76	194.00
1	2	2	4923.00	3130.00	147.00	-50	Spot (Block1, Row2, Column2)	193.37	194.00	10.89	0.00	0.06	187.00	186.53	187.00	16.57	0.00	0.09	17.00	0.00	0.00	7.00	6.37	113509.00	0.41	183.76	186.50
1	3	2	5223.00	3130.00	147.00	-50	Spot (Block1, Row2, Column3)	183.63	183.00	10.05	0.00	0.05	183.00	182.97	183.00	16.41	0.00	0.09	6.00	0.00	0.00	0.00	0.63	107974.00	0.04	184.94	185.00
1	4	2	5539.00	3149.00	230.25	0	Spot (Block1, Row2, Column4)	201.66	200.00	14.15	0.00	0.07	184.00	183.05	184.00	16.06	0.00	0.09	49.00	13.00	0.00	16.00	17.66	306527.00	1.16	187.18	186.00
1	5	2	5816.00	3125.00	208.90	0	Spot (Block1, Row2, Column5)	296.53	300.00	31.18	0.01	0.11	189.00	188.50	189.00	16.76	0.00	0.09	99.00	96.00	0.00	111.00	107.53	368295.00	6.45	222.63	217.00
1	6	2	6109.00	3101.00	159.95	0	Spot (Block1, Row2, Column6)	204.40	203.00	16.17	0.00	0.08	189.00	188.10	189.00	16.69	0.00	0.09	42.00	14.00	0.00	14.00	15.40	144920.00	0.98	189.60	189.50
1	7	2	6423.00	3131.00	147.00	-50	Spot (Block1, Row2, Column7)	191.08	191.00	9.74	0.00	0.05	187.00	186.55	187.00	14.17	0.00	0.08	16.00	0.00	0.00	4.00	4.08	112354.00	0.32	188.91	189.00
1	8	2	6723.00	3131.00	147.00	-50	Spot (Block1, Row2, Column8)	189.87	190.00	10.10	0.00	0.05	188.00	188.08	188.00	14.98	0.00	0.08	8.00	1.00	0.00	2.00	1.87	111645.00	0.12	193.03	194.00
1	1	3	4647.00	3385.00	174.60	0	Spot (Block1, Row3, Column1)	218.67	213.00	22.61	0.01	0.10	185.00	185.56	185.00	15.08	0.00	0.08	77.00	45.00	0.00	28.00	33.67	184120.00	2.20	202.78	203.00
1	2	3	4919.00	3460.00	181.70	0	Spot (Block1, Row3, Column2)	198.18	197.00	15.96	0.00	0.08	183.00	182.31	183.00	17.20	0.00	0.09	40.00	6.00	0.00	14.00	15.18	184904.00	0.92	188.85	189.00
1	3	3	5203.00	3425.00	145.05	0	Spot (Block1, Row3, Column3)	244.40	237.00	32.45	0.01	0.13	184.00	183.78	184.00	16.19	0.00	0.09	94.00	75.00	0.00	53.00	60.40	140041.00	3.74	207.45	206.00
1	4	3	5526.00	3429.00	215.25	0	Spot (Block1, Row3, Column4)	207.36	203.00	21.88	0.01	0.11	185.50	185.19	185.50	15.10	0.00	0.08	55.00	28.00	0.00	17.50	21.86	274758.00	1.47	189.10	190.00
1	5	3	5803.00	3427.00	172.15	0	Spot (Block1, Row3, Column5)	219.73	219.00	19.49	0.00	0.09	187.00	187.01	187.00	15.86	0.00	0.08	83.00	50.00	0.00	32.00	32.73	181494.00	2.06	198.67	197.50
1	6	3	6128.00	3420.00	152.95	0	Spot (Block1, Row3, Column6)	209.12	207.00	14.39	0.00	0.07	188.00	187.40	188.00	15.94	0.00	0.09	61.00	22.00	0.00	19.00	21.12	134672.00	1.36	192.86	192.00
1	7	3	6428.00	3460.00	208.80	0	Spot (Block1, Row3, Column7)	194.99	195.00	13.03	0.00	0.07	183.00	182.40	183.00	17.24	0.00	0.09	33.00	4.00	0.00	12.00	11.99	241397.00	0.73	188.57	186.50
1	8	3	6721.00	3412.00	115.30	0	Spot (Block1, Row3, Column8)	206.47	207.50	13.66	0.00	0.07	183.00	182.64	183.00	17.55	0.00	0.10	66.00	20.00	0.00	24.50	23.47	71024.00	1.36	195.77	194.00
1	1	4	4647.00	3705.00	147.20	0	Spot (Block1, Row4, Column1)	201.06	201.00	10.20	0.00	0.05	184.00	183.28	184.00	15.61	0.00	0.09	56.00	8.00	0.00	17.00	17.06	118627.00	1.14	191.61	193.00
1	2	4	4923.00	3730.00	147.00	-50	Spot (Block1, Row4, Column2)	178.45	178.00	8.17	0.00	0.05	183.00	182.38	183.00	16.83	0.00	0.09	0.00	0.00	0.00	-5.00	-4.55	105109.00	-0.23	181.05	182.00
1	3	4	5209.00	3726.00	187.95	0	Spot (Block1, Row4, Column3)	240.45	234.00	29.78	0.01	0.12	184.00	182.54	184.00	16.52	0.00	0.09	93.00	71.00	0.00	50.00	56.45	239003.00	3.50	197.86	198.00
1	4	4	5561.00	3724.00	123.20	0	Spot (Block1, Row4, Column4)	206.72	207.00	12.83	0.00	0.06	183.00	182.97	183.00	14.42	0.00	0.08	77.00	38.00	0.00	24.00	23.72	83723.00	1.65	196.49	197.00
1	5	4	5808.00	3718.00	194.10	0	Spot (Block1, Row4, Column5)	208.71	209.00	20.66	0.00	0.10	185.00	185.51	185.00	15.16	0.00	0.08	68.00	32.00	0.00	24.00	23.71	222272.00	1.53	192.81	194.00
1	6	4	6110.00	3715.00	208.75	0	Spot (Block1, Row4, Column6)	289.56	292.00	32.01	0.00	0.11	188.00	187.43	188.00	16.20	0.00	0.09	99.00	96.00	0.00	104.00	101.56	357611.00	6.31	223.58	216.50
1	7	4	6404.00	3726.00	227.65	0	Spot (Block1, Row4, Column7)	207.01	206.00	23.25	0.00	0.11	180.00	178.52	180.00	18.16	0.00	0.10	66.00	24.00	0.00	26.00	27.01	306989.00	1.57	185.64	186.00
1	8	4	6731.00	3740.00	128.50	0	Spot (Block1, Row4, Column8)	218.35	214.00	19.79	0.01	0.09	180.00	177.87	180.00	16.87	0.01	0.09	89.00	51.00	0.00	34.00	38.35	95855.00	2.40	194.53	194.00
1	1	5	4647.00	4021.00	145.95	0	Spot (Block1, Row5, Column1)	232.54	228.00	20.96	0.01	0.09	187.00	186.65	187.00	15.92	0.00	0.09	93.00	75.00	0.00	41.00	45.54	135340.00	2.88	215.52	207.50
1	2	5	4936.00	4115.00	163.15	0	Spot (Block1, Row5, Column2)	216.87	216.00	25.69	0.00	0.12	186.00	186.08	186.00	34.99	0.00	0.19	33.00	1.00	0.00	30.00	30.87	159833.00	0.88	206.02	206.00
1	3	5	5223.00	4030.00	147.00	-50	Spot (Block1, Row5, Column3)	203.73	203.00	33.36	0.00	0.16	184.00	184.42	184.00	35.69	0.00	0.19	13.00	1.00	0.00	19.00	19.73	119795.00	0.54	223.30	195.00
1	4	5	5526.00	4028.00	213.90	0	Spot (Block1, Row5, Column4)	202.62	202.00	15.17	0.00	0.07	181.00	181.25	181.00	15.02	0.00	0.08	64.00	26.00	0.00	21.00	21.62	264221.00	1.42	189.19	188.00
1	5	5	5820.00	4027.00	186.35	0	Spot (Block1, Row5, Column5)	241.41	234.00	34.84	0.01	0.14	179.00	179.64	179.00	16.27	0.00	0.09	94.00	76.00	0.00	55.00	62.41	237063.00	3.80	198.70	198.00
1	6	5	6151.00	4014.00	250.55	0	Spot (Block1, Row5, Column6)	203.28	203.00	13.54	0.00	0.07	185.00	183.45	185.00	18.32	0.00	0.10	47.00	9.00	0.00	18.00	18.28	369771.00	1.08	193.74	192.50
1	7	5	6453.00	4047.00	229.35	0	Spot (Block1, Row5, Column7)	201.12	201.00	12.87	0.00	0.06	182.50	181.59	182.50	16.71	0.00	0.09	53.00	12.00	0.00	18.50	18.62	304899.00	1.17	185.86	185.00
1	8	5	6710.00	4047.00	162.70	0	Spot (Block1, Row5, Column8)	221.81	212.00	30.46	0.02	0.14	185.00	193.37	185.00	194.49	0.02	1.01	0.00	0.00	0.00	27.00	36.81	162808.00	0.15	193.36	195.00
1	1	6	4623.00	4329.00	147.00	-50	Spot (Block1, Row6, Column1)	193.53	195.00	11.58	0.00	0.06	186.00	184.80	186.00	15.66	0.00	0.08	26.00	1.00	0.00	9.00	7.53	113600.00	0.56	193.32	194.00
1	2	6	4950.00	4350.00	174.30	0	Spot (Block1, Row6, Column2)	203.89	204.00	17.43	0.00	0.09	185.00	183.32	185.00	15.65	0.00	0.09	58.00	23.00	0.00	19.00	18.89	173310.00	1.31	192.78	189.00
1	3	6	5226.00	4337.00	187.05	0	Spot (Block1, Row6, Column3)	213.14	209.00	28.27	0.01	0.13	180.00	180.16	180.00	19.69	0.00	0.11	69.00	30.00	0.00	29.00	33.14	210582.00	1.68	201.41	190.00
1	4	6	5533.00	4339.00	188.55	0	Spot (Block1, Row6, Column4)	201.92	203.00	14.08	0.00	0.07	178.00	178.74	178.00	14.66	0.00	0.08	78.00	36.00	0.00	25.00	23.92	201515.00	1.58	185.76	188.00
1	5	6	5800.00	4321.00	188.40	0	Spot (Block1, Row6, Column5)	222.00	219.00	22.88	0.01	0.10	181.00	180.57	181.00	14.76	0.00	0.08	89.00	68.00	0.00	38.00	41.00	221997.00	2.81	189.24	188.00
1	6	6	6118.00	4357.00	209.40	0	Spot (Block1, Row6, Column6)	204.06	205.00	14.63	0.00	0.07	186.00	185.50	186.00	15.45	0.00	0.08	59.00	19.00	0.00	19.00	18.06	255485.00	1.20	190.38	190.00
1	7	6	6411.00	4325.00	147.70	0	Spot (Block1, Row6, Column7)	213.67	212.00	12.56	0.00	0.06	186.00	186.99	186.00	16.81	0.00	0.09	79.00	30.00	0.00	26.00	27.67	126706.00	1.59	200.82	201.00
1	8	6	6714.00	4352.00	204.40	0	Spot (Block1, Row6, Column8)	211.04	211.50	17.76	0.00	0.08	187.00	199.01	187.00	197.43	0.03	0.99	0.00	0.00	0.00	24.50	24.04	249444.00	0.06	196.07	195.00
1	1	7	4624.00	4629.00	147.00	-50	Spot (Block1, Row7, Column1)	202.47	202.00	16.60	0.00	0.08	183.00	187.83	183.00	109.44	0.01	0.58	0.00	0.00	0.00	19.00	19.47	119053.00	0.13	198.78	199.00
