ATF	1.0
30	28
"Checksum_ImageFile=48eb9dfae593968d2f8d32a3eb0073fb"
"Checksum_ResultFile=699cd369b5fc18b4e712e911f4ff0668"
"Type=Mapix Results 2"
"DateTime=2021/04/02 16:55:12"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0141_12860A01-D12_IgM_785\Joseph_2021-04-02_16h55m00_5µm_785nmGain001.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0141_12860A01-D12_IgM_785\Joseph_2021-04-02_16h55m00_5µm_785nmGain001.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4410, 2625"
"JpegBrightness=48"
"JpegContrast=55"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.6"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=1"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4610.00	2823.00	152.00	0	Spot (Block1, Row1, Column1)	9265.41	8672.00	4819.34	0.03	0.52	582.00	570.78	582.00	83.10	0.01	0.15	100.00	100.00	0.00	8090.00	8683.41	5874267.00	104.62	2449.16	1953.00
1	2	1	4873.00	2830.00	206.25	0	Spot (Block1, Row1, Column2)	633.47	598.00	98.39	0.03	0.16	511.00	543.34	511.00	77.10	0.03	0.14	60.00	36.00	0.00	87.00	122.47	766494.00	1.17	583.13	582.00
1	3	1	5205.00	2832.00	170.85	0	Spot (Block1, Row1, Column3)	581.46	585.00	81.48	0.00	0.14	505.00	534.89	505.00	75.83	0.02	0.14	53.00	16.00	0.00	80.00	76.46	472725.00	0.61	544.05	505.00
1	4	1	5495.00	2831.00	229.05	0	Spot (Block1, Row1, Column4)	587.44	593.00	90.36	0.00	0.15	504.00	538.65	504.00	85.12	0.03	0.16	54.00	17.00	0.00	89.00	83.44	884093.00	0.57	557.48	584.00
1	5	1	5828.00	2813.00	165.70	0	Spot (Block1, Row1, Column5)	618.65	593.00	102.01	0.02	0.16	513.00	548.55	513.00	91.35	0.03	0.17	41.00	30.00	0.00	80.00	105.65	470171.00	0.77	580.00	592.00
1	6	1	6091.00	2812.00	192.80	0	Spot (Block1, Row1, Column6)	634.77	602.00	122.72	0.02	0.19	516.00	554.35	516.00	92.70	0.03	0.17	46.00	33.00	0.00	86.00	118.77	665238.00	0.87	590.92	591.50
1	7	1	6403.00	2819.00	149.95	0	Spot (Block1, Row1, Column7)	719.57	687.00	156.93	0.02	0.22	506.00	547.44	506.00	91.60	0.03	0.17	64.00	48.00	0.00	181.00	213.57	441813.00	1.88	642.75	588.00
1	8	1	6711.00	2829.00	178.00	0	Spot (Block1, Row1, Column8)	652.49	598.00	129.98	0.04	0.20	580.00	568.76	580.00	100.24	0.01	0.18	45.00	22.00	0.00	18.00	72.49	578761.00	0.84	597.42	580.00
1	1	2	4613.00	3125.00	147.00	-50	Spot (Block1, Row2, Column1)	589.92	595.00	79.75	0.00	0.14	543.00	557.13	543.00	76.42	0.01	0.14	24.00	15.00	0.00	52.00	46.92	348642.00	0.43	545.57	505.00
1	2	2	4900.00	3109.00	164.60	0	Spot (Block1, Row2, Column2)	589.23	589.00	77.56	0.00	0.13	506.00	532.59	506.00	68.65	0.02	0.13	64.00	19.00	0.00	83.00	83.23	442511.00	0.83	546.54	524.00
1	3	2	5231.00	3120.00	170.05	0	Spot (Block1, Row2, Column3)	597.85	599.00	80.44	0.00	0.13	501.00	526.47	501.00	72.22	0.02	0.14	69.00	24.00	0.00	98.00	96.85	479472.00	0.99	557.32	575.50
1	4	2	5531.00	3135.00	267.40	0	Spot (Block1, Row2, Column4)	585.97	590.00	97.32	0.00	0.17	509.00	543.42	509.00	87.82	0.03	0.16	43.00	17.00	0.00	81.00	76.97	1221165.00	0.48	543.08	511.00
1	5	2	5814.00	3130.00	219.20	0	Spot (Block1, Row2, Column5)	947.76	900.00	238.23	0.02	0.25	578.00	563.88	578.00	94.20	0.01	0.17	90.00	77.00	0.00	322.00	369.76	1298433.00	4.08	643.18	616.00
1	6	2	6115.00	3126.00	147.00	-50	Spot (Block1, Row2, Column6)	636.37	597.00	111.35	0.03	0.17	570.00	562.81	570.00	95.52	0.01	0.17	36.00	16.00	0.00	27.00	66.37	374183.00	0.77	622.73	596.50
1	7	2	6415.00	3126.00	147.00	-50	Spot (Block1, Row2, Column7)	592.02	590.00	95.41	0.00	0.16	510.00	551.61	510.00	91.91	0.03	0.17	35.00	20.00	0.00	80.00	82.02	350476.00	0.44	544.46	498.00
1	8	2	6716.00	3126.00	147.00	-50	Spot (Block1, Row2, Column8)	582.49	578.00	109.89	0.00	0.19	509.00	554.69	509.00	98.73	0.04	0.18	30.00	20.00	0.00	69.00	73.49	343088.00	0.28	596.85	597.00
1	1	3	4616.00	3414.00	186.60	0	Spot (Block1, Row3, Column1)	645.11	597.00	107.75	0.03	0.17	507.00	538.84	507.00	98.97	0.03	0.18	43.00	25.00	0.00	90.00	138.11	631560.00	1.07	572.65	583.00
