ATF	1.0
30	28
"Checksum_ImageFile=2f56487216a7ab8ee259edb16610156d"
"Checksum_ResultFile=3745d681de3148754177587280a2cb98"
"Type=Mapix Results 2"
"DateTime=2021/04/02 17:03:09"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0141_12860A01-D12_IgM_785\Joseph_2021-04-02_17h02m57_5µm_785nmGain005.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0141_12860A01-D12_IgM_785\Joseph_2021-04-02_17h02m57_5µm_785nmGain005.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4410, 2625"
"JpegBrightness=47"
"JpegContrast=35"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.5"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=5"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4611.00	2823.00	150.65	0	Spot (Block1, Row1, Column1)	21528.03	19796.50	10834.93	0.04	0.50	1197.00	1221.97	1197.00	156.36	0.01	0.13	100.00	100.00	0.64	18599.50	20331.03	13390433.00	129.87	5984.35	5024.00
1	2	1	4885.00	2830.00	251.10	0	Spot (Block1, Row1, Column2)	1304.49	1280.00	179.22	0.01	0.14	1153.00	1164.67	1153.00	140.62	0.00	0.12	44.00	19.00	0.00	127.00	151.49	2379381.00	0.99	1213.27	1185.00
1	3	1	5222.00	2829.00	161.10	0	Spot (Block1, Row1, Column3)	1283.54	1294.00	158.63	0.00	0.12	1098.00	1121.84	1098.00	117.29	0.01	0.10	57.00	36.00	0.00	196.00	185.54	916447.00	1.38	1193.42	1195.00
1	4	1	5499.00	2826.00	205.60	0	Spot (Block1, Row1, Column4)	1316.69	1287.00	164.11	0.01	0.12	1130.00	1155.66	1130.00	132.43	0.01	0.11	58.00	29.00	0.00	157.00	186.69	1585299.00	1.22	1212.65	1198.00
1	5	1	5809.00	2827.00	162.90	0	Spot (Block1, Row1, Column5)	1345.95	1306.00	156.46	0.01	0.12	1185.00	1186.10	1185.00	138.22	0.00	0.12	47.00	24.00	0.00	121.00	160.95	985234.00	1.16	1232.20	1200.00
1	6	1	6092.00	2816.00	187.10	0	Spot (Block1, Row1, Column6)	1348.35	1304.00	250.15	0.01	0.19	1179.00	1178.59	1179.00	134.94	0.00	0.11	46.00	27.00	0.00	125.00	169.35	1330824.00	1.26	1247.25	1207.00
1	7	1	6415.00	2825.00	177.00	0	Spot (Block1, Row1, Column7)	1489.00	1472.00	228.28	0.00	0.15	1150.00	1164.24	1150.00	143.06	0.01	0.12	77.00	52.00	0.00	322.00	339.00	1305857.00	2.27	1246.98	1220.50
1	8	1	6723.00	2805.00	192.75	0	Spot (Block1, Row1, Column8)	1383.40	1363.00	215.39	0.01	0.16	1192.00	1224.20	1192.00	185.23	0.01	0.15	46.00	19.00	0.00	171.00	191.40	1458100.00	0.86	1251.79	1230.00
1	1	2	4613.00	3126.00	147.00	-50	Spot (Block1, Row2, Column1)	1236.03	1216.00	147.47	0.01	0.12	1183.00	1189.72	1183.00	131.66	0.00	0.11	31.00	9.00	0.00	33.00	53.03	729258.00	0.35	1240.62	1214.50
1	2	2	4913.00	3126.00	147.00	-50	Spot (Block1, Row2, Column2)	1235.37	1198.00	150.50	0.01	0.12	1120.00	1145.21	1120.00	131.97	0.01	0.12	41.00	20.00	0.00	78.00	115.37	728866.00	0.68	1137.49	1126.00
1	3	2	5221.00	3120.00	207.00	0	Spot (Block1, Row2, Column3)	1225.72	1197.00	122.79	0.01	0.10	1096.00	1111.56	1096.00	117.26	0.01	0.11	41.00	17.00	0.00	101.00	129.72	1497824.00	0.97	1166.63	1142.00
1	4	2	5527.00	3138.00	174.70	0	Spot (Block1, Row2, Column4)	1295.12	1289.50	131.75	0.00	0.10	1159.00	1158.15	1159.00	129.51	0.00	0.11	50.00	19.00	0.00	130.50	136.12	1100850.00	1.06	1208.80	1181.00
1	5	2	5816.00	3127.00	206.20	0	Spot (Block1, Row2, Column5)	2193.70	2162.50	429.13	0.01	0.20	1193.00	1208.29	1193.00	140.79	0.01	0.12	99.00	97.00	0.00	969.50	1000.70	2649986.00	7.00	1522.03	1513.00
1	6	2	6097.00	3127.00	194.45	0	Spot (Block1, Row2, Column6)	1338.61	1305.00	161.02	0.01	0.12	1186.00	1190.35	1186.00	135.80	0.00	0.11	45.00	23.00	0.00	119.00	152.61	1418922.00	1.09	1251.17	1208.50
1	7	2	6397.00	3121.00	159.55	0	Spot (Block1, Row2, Column7)	1256.62	1205.00	136.92	0.02	0.11	1167.00	1163.84	1167.00	145.09	0.00	0.12	27.00	7.00	0.00	38.00	89.62	882144.00	0.64	1220.10	1185.00
1	8	2	6716.00	3127.00	147.00	-50	Spot (Block1, Row2, Column8)	1234.45	1189.00	173.85	0.02	0.14	1176.00	1187.33	1176.00	177.69	0.00	0.15	26.00	6.00	0.00	13.00	58.45	733266.00	0.27	1234.99	1193.00
1	1	3	4613.00	3419.00	173.55	0	Spot (Block1, Row3, Column1)	1389.61	1372.00	169.50	0.01	0.12	1110.00	1145.36	1110.00	192.06	0.01	0.17	58.00	29.00	0.00	262.00	279.61	1168658.00	1.27	1221.88	1197.50
1	2	3	4917.00	3428.00	150.20	0	Spot (Block1, Row3, Column2)	1250.79	1253.00	135.15	0.00	0.11	1101.00	1117.83	1101.00	122.69	0.01	0.11	51.00	22.00	0.00	152.00	149.79	772988.00	1.08	1195.85	1184.50
