ATF	1.0
30	28
"Checksum_ImageFile=42c663cc15b61c02035be52c74b017f5"
"Checksum_ResultFile=c55876f450878f09aa1491cdff4f4517"
"Type=Mapix Results 2"
"DateTime=2021/04/02 17:11:09"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0141_12860A01-D12_IgM_785\Joseph_2021-04-02_17h10m57_785nmGain010.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0141_12860A01-D12_IgM_785\Joseph_2021-04-02_17h10m57_785nmGain010.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4410, 2625"
"JpegBrightness=46"
"JpegContrast=28"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.5"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=10"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4611.00	2824.00	151.30	0	Spot (Block1, Row1, Column1)	32516.84	30729.00	15307.50	0.02	0.47	1788.00	1809.20	1788.00	219.80	0.01	0.12	100.00	100.00	2.73	28941.00	30728.84	20258004.00	139.71	9285.23	7209.00
1	2	1	4884.00	2831.00	202.70	0	Spot (Block1, Row1, Column2)	2014.82	2017.00	285.20	0.00	0.14	1691.00	1710.59	1691.00	191.71	0.01	0.11	68.00	42.00	0.00	326.00	323.82	2345256.00	1.59	1861.45	1812.00
1	3	1	5203.00	2820.00	185.40	0	Spot (Block1, Row1, Column3)	1832.68	1769.50	229.44	0.02	0.13	1674.00	1677.34	1674.00	159.95	0.00	0.10	39.00	20.00	0.00	95.50	158.68	1774031.00	0.97	1704.54	1682.00
1	4	1	5506.00	2828.00	168.05	0	Spot (Block1, Row1, Column4)	1986.25	1951.00	232.12	0.01	0.12	1687.00	1713.46	1687.00	174.07	0.01	0.10	66.00	34.00	0.00	264.00	299.25	1559204.00	1.57	1805.27	1765.00
1	5	1	5801.00	2832.00	155.60	0	Spot (Block1, Row1, Column5)	1991.93	1985.00	214.53	0.00	0.11	1769.00	1772.72	1769.00	193.93	0.00	0.11	53.00	24.00	0.00	216.00	222.93	1324634.00	1.13	1853.22	1802.00
1	6	1	6090.00	2819.00	164.70	0	Spot (Block1, Row1, Column6)	2120.63	2084.50	290.95	0.01	0.14	1725.50	1758.45	1725.50	191.92	0.01	0.11	69.00	45.00	0.00	359.00	395.13	1598958.00	1.89	1972.59	1835.00
1	7	1	6416.00	2824.00	148.65	0	Spot (Block1, Row1, Column7)	2332.74	2358.00	299.54	0.00	0.13	1686.00	1727.33	1686.00	193.56	0.01	0.11	94.00	77.00	0.00	672.00	646.74	1411308.00	3.13	1987.67	1934.00
1	8	1	6722.00	2816.00	193.75	0	Spot (Block1, Row1, Column8)	2074.49	2075.00	283.69	0.00	0.14	1778.00	1813.08	1778.00	267.90	0.01	0.15	52.00	17.00	0.00	297.00	296.49	2186517.00	0.98	1859.48	1838.50
1	1	2	4609.00	3100.00	193.45	0	Spot (Block1, Row2, Column1)	1863.07	1881.00	155.14	0.00	0.08	1746.00	1772.78	1746.00	205.27	0.01	0.12	26.00	2.00	0.00	135.00	117.07	1969265.00	0.44	1788.14	1768.50
1	2	2	4912.00	3127.00	147.00	-50	Spot (Block1, Row2, Column2)	1856.91	1839.00	200.49	0.00	0.11	1678.00	1687.69	1678.00	173.97	0.00	0.10	47.00	18.00	0.00	161.00	178.91	1104864.00	0.97	1719.57	1689.00
1	3	2	5216.00	3118.00	193.60	0	Spot (Block1, Row2, Column3)	1833.62	1788.00	168.64	0.01	0.09	1633.00	1655.54	1633.00	156.46	0.01	0.09	49.00	23.00	0.00	155.00	200.62	1939970.00	1.14	1759.81	1719.00
1	4	2	5533.00	3124.00	207.65	0	Spot (Block1, Row2, Column4)	1927.10	1905.00	216.62	0.01	0.11	1693.00	1724.75	1693.00	174.20	0.01	0.10	58.00	25.00	0.00	212.00	234.10	2372263.00	1.16	1783.85	1761.00
1	5	2	5816.00	3126.00	206.55	0	Spot (Block1, Row2, Column5)	3291.12	3283.00	586.15	0.00	0.18	1786.00	1802.20	1786.00	201.28	0.00	0.11	99.00	99.00	0.00	1497.00	1505.12	3988837.00	7.40	2278.58	2246.00
1	6	2	6076.00	3125.00	146.15	0	Spot (Block1, Row2, Column6)	2070.25	2029.00	228.23	0.01	0.11	1783.00	1799.04	1783.00	201.19	0.00	0.11	56.00	34.00	0.00	246.00	287.25	1194534.00	1.35	1950.87	1927.50
1	7	2	6432.00	3127.00	178.80	0	Spot (Block1, Row2, Column7)	1857.20	1811.00	234.05	0.01	0.13	1702.00	1748.57	1702.00	209.94	0.01	0.12	37.00	15.00	0.00	109.00	155.20	1667768.00	0.52	1832.54	1816.00
1	8	2	6713.00	3166.00	223.90	0	Spot (Block1, Row2, Column8)	1842.22	1818.00	203.56	0.01	0.11	1715.00	1775.23	1715.00	260.51	0.01	0.15	28.00	2.00	0.00	103.00	127.22	2641747.00	0.26	1763.57	1717.00
1	1	3	4623.00	3405.00	180.50	0	Spot (Block1, Row3, Column1)	2090.78	2086.50	269.91	0.00	0.13	1679.00	1701.61	1679.00	214.31	0.01	0.13	73.00	46.00	0.00	407.50	411.78	1910969.00	1.82	1846.52	1812.50
1	2	3	4921.00	3437.00	179.10	0	Spot (Block1, Row3, Column2)	1860.00	1820.00	188.38	0.01	0.10	1614.00	1655.99	1614.00	165.44	0.01	0.10	63.00	27.00	0.00	206.00	246.00	1670282.00	1.23	1729.95	1694.50
1	3	3	5206.00	3424.00	140.60	0	Spot (Block1, Row3, Column3)	2471.27	2341.00	669.21	0.02	0.27	1662.00	1669.21	1662.00	161.36	0.00	0.10	99.00	94.00	0.00	679.00	809.27	1322130.00	4.97	1945.01	1932.00
1	4	3	5519.00	3426.00	191.25	0	Spot (Block1, Row3, Column4)	2097.36	2068.50	246.57	0.01	0.12	1692.00	1722.62	1692.00	169.11	0.01	0.10	82.00	53.00	0.00	376.50	405.36	2160277.00	2.22	1825.19	1785.00
1	5	3	5822.00	3430.00	155.35	0	Spot (Block1, Row3, Column5)	2284.60	2224.00	452.81	0.01	0.20	1773.00	1795.23	1773.00	199.46	0.01	0.11	84.00	58.00	0.00	451.00	511.60	1514693.00	2.45	1932.79	1900.00
1	6	3	6112.00	3413.00	138.05	0	Spot (Block1, Row3, Column6)	2052.55	2022.00	222.97	0.01	0.11	1788.00	1807.55	1788.00	204.39	0.00	0.11	58.00	28.00	0.00	234.00	264.55	1061169.00	1.20	1963.43	1909.00
1	7	3	6409.00	3407.00	146.75	0	Spot (Block1, Row3, Column7)	2089.41	2097.00	249.03	0.00	0.12	1717.00	1748.68	1717.00	198.48	0.01	0.11	71.00	46.00	0.00	380.00	372.41	1232750.00	1.72	1904.05	1874.00
1	8	3	6715.00	3427.00	147.00	-50	Spot (Block1, Row3, Column8)	1841.24	1809.50	213.84	0.01	0.12	1699.00	1739.46	1699.00	203.82	0.01	0.12	43.00	13.00	0.00	110.50	142.24	1082649.00	0.50	1825.78	1787.00
1	1	4	4624.00	3725.00	148.30	0	Spot (Block1, Row4, Column1)	2024.88	2005.00	209.15	0.00	0.10	1604.00	1648.10	1604.00	317.90	0.01	0.19	65.00	9.00	0.00	401.00	420.88	1212905.00	1.19	1881.10	1870.50
1	2	4	4925.00	3744.00	183.45	0	Spot (Block1, Row4, Column2)	1816.60	1810.00	149.33	0.00	0.08	1604.00	1643.37	1604.00	143.72	0.01	0.09	66.00	35.00	0.00	206.00	212.60	1725766.00	1.21	1723.18	1706.00
1	3	4	5204.00	3717.00	161.95	0	Spot (Block1, Row4, Column3)	2787.06	2741.50	550.70	0.01	0.20	1670.00	1677.79	1670.00	166.66	0.00	0.10	97.00	93.00	0.00	1071.50	1117.06	2023402.00	6.66	1933.06	1933.50
1	4	4	5496.00	3743.00	237.60	0	Spot (Block1, Row4, Column4)	1834.21	1797.00	186.11	0.01	0.10	1684.00	1697.16	1684.00	167.88	0.00	0.10	42.00	17.00	0.00	113.00	150.21	2987922.00	0.82	1747.59	1718.00
1	5	4	5784.00	3722.00	183.65	0	Spot (Block1, Row4, Column5)	1979.56	1963.50	202.12	0.00	0.10	1699.00	1737.52	1699.00	190.21	0.01	0.11	56.00	31.00	0.00	264.50	280.56	1868703.00	1.27	1844.57	1859.50
1	6	4	6109.00	3718.00	208.75	0	Spot (Block1, Row4, Column6)	3146.65	3071.50	476.83	0.01	0.15	1747.00	1766.25	1747.00	196.40	0.00	0.11	99.00	98.00	0.00	1324.50	1399.65	3901845.00	7.03	2233.99	2206.00
1	7	4	6416.00	3726.00	164.80	0	Spot (Block1, Row4, Column7)	2289.35	2042.00	1019.25	0.05	0.45	1698.00	1718.15	1698.00	183.71	0.01	0.11	68.00	48.00	0.00	344.00	591.35	1717014.00	3.11	1843.15	1811.00
