ATF	1.0
30	28
"Checksum_ImageFile=0b5be23ff3fbca2b969533aacfa8e1a0"
"Checksum_ResultFile=8c3f6a15bfbe272e130522f64e7660c6"
"Type=Mapix Results 2"
"DateTime=2021/04/02 17:27:04"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0141_12860A01-D12_IgM_785\Joseph_2021-04-02_17h26m52_5µm_785nmGain025.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0141_12860A01-D12_IgM_785\Joseph_2021-04-02_17h26m52_5µm_785nmGain025.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4410, 2625"
"JpegBrightness=44"
"JpegContrast=18"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.5"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=25"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4611.00	2823.00	152.60	0	Spot (Block1, Row1, Column1)	52885.67	63220.00	15008.36	0.08	0.28	3721.00	3775.31	3721.00	403.50	0.01	0.11	100.00	100.00	48.35	59499.00	49164.67	33582656.00	121.71	16978.62	13197.00
1	2	1	4884.00	2827.00	198.05	0	Spot (Block1, Row1, Column2)	4184.67	4116.00	574.00	0.01	0.14	3505.00	3551.90	3505.00	350.40	0.01	0.10	75.00	40.00	0.00	611.00	679.67	4653358.00	1.81	3816.27	3730.00
1	3	1	5222.00	2827.00	149.95	0	Spot (Block1, Row1, Column3)	3898.82	3862.50	407.67	0.00	0.10	3409.00	3459.43	3409.00	268.84	0.01	0.08	68.00	39.00	0.00	453.50	489.82	2401674.00	1.63	3609.07	3585.00
1	4	1	5509.00	2823.00	218.30	0	Spot (Block1, Row1, Column4)	3962.72	3881.00	406.60	0.01	0.10	3469.00	3515.27	3469.00	295.62	0.01	0.08	63.00	34.00	0.00	412.00	493.72	5385334.00	1.51	3668.68	3616.00
1	5	1	5810.00	2815.00	236.90	0	Spot (Block1, Row1, Column5)	3942.73	3911.50	362.35	0.00	0.09	3610.00	3653.18	3610.00	410.96	0.01	0.11	39.00	11.00	0.00	301.50	332.73	6363566.00	0.70	3720.74	3699.00
1	6	1	6105.00	2813.00	139.00	0	Spot (Block1, Row1, Column6)	4530.16	4553.00	431.43	0.00	0.10	3619.00	3659.29	3619.00	366.96	0.00	0.10	88.00	65.00	0.00	934.00	911.16	2360211.00	2.37	4117.82	4106.50
1	7	1	6421.00	2824.00	158.65	0	Spot (Block1, Row1, Column7)	4752.96	4673.00	531.62	0.01	0.11	3582.00	3618.55	3582.00	327.12	0.00	0.09	98.00	85.00	0.00	1091.00	1170.96	3293802.00	3.47	3972.99	3947.00
1	8	1	6723.00	2818.00	212.55	0	Spot (Block1, Row1, Column8)	4207.13	4140.00	474.50	0.01	0.11	3735.00	3789.16	3735.00	433.34	0.01	0.11	47.00	14.00	0.00	405.00	472.13	5414579.00	0.96	3887.17	3883.00
1	1	2	4614.00	3127.00	147.00	-50	Spot (Block1, Row2, Column1)	3883.39	3873.00	269.65	0.00	0.07	3645.00	3691.06	3645.00	318.68	0.01	0.09	39.00	5.00	0.00	228.00	238.39	2283432.00	0.60	3769.09	3702.00
1	2	2	4914.00	3127.00	147.00	-50	Spot (Block1, Row2, Column2)	3876.75	3791.00	357.79	0.01	0.09	3506.00	3517.75	3506.00	332.78	0.00	0.09	45.00	23.00	0.00	285.00	370.75	2271776.00	1.08	3644.26	3642.50
