ATF	1.0
30	28
"Checksum_ImageFile=09f2809e4838b332b077bb00c9cce8fa"
"Checksum_ResultFile=bea784cc36e147868cf548c2506b8b10"
"Type=Mapix Results 2"
"DateTime=2021/04/02 17:35:02"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0141_12860A01-D12_IgM_785\Joseph_2021-04-02_17h34m50_5µm_785nmGain050.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0141_12860A01-D12_IgM_785\Joseph_2021-04-02_17h34m50_5µm_785nmGain050.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4410, 2625"
"JpegBrightness=41"
"JpegContrast=13"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.5"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=50"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4611.00	2824.00	155.85	0	Spot (Block1, Row1, Column1)	62549.51	65535.00	6149.74	0.02	0.10	6704.00	6803.26	6704.00	656.25	0.01	0.10	100.00	100.00	73.58	58831.00	55845.51	41908556.00	84.95	24258.42	21122.50
1	2	1	4878.00	2828.00	198.90	0	Spot (Block1, Row1, Column2)	7614.81	7452.00	1065.06	0.01	0.14	6413.00	6472.69	6413.00	574.16	0.00	0.09	75.00	45.00	0.00	1039.00	1201.81	8566659.00	1.99	6931.17	6755.00
1	3	1	5213.00	2829.00	154.80	0	Spot (Block1, Row1, Column3)	7100.53	6989.00	712.68	0.01	0.10	6259.00	6292.71	6259.00	405.50	0.00	0.06	78.00	41.00	0.00	730.00	841.53	4672146.00	1.99	6599.28	6606.00
1	4	1	5516.00	2828.00	195.45	0	Spot (Block1, Row1, Column4)	7310.31	7160.00	664.15	0.01	0.09	6390.00	6427.26	6390.00	432.01	0.00	0.07	77.00	42.00	0.00	770.00	920.31	7902442.00	2.04	6800.78	6716.50
1	5	1	5819.00	2823.00	220.20	0	Spot (Block1, Row1, Column5)	7264.37	7286.00	582.85	0.00	0.08	6574.00	6612.47	6574.00	531.42	0.00	0.08	61.00	24.00	0.00	712.00	690.37	10090215.00	1.23	6844.58	6783.00
1	6	1	6093.00	2815.00	180.70	0	Spot (Block1, Row1, Column6)	7845.02	7783.50	836.39	0.00	0.11	6567.00	6609.00	6567.00	476.77	0.00	0.07	87.00	64.00	0.00	1216.50	1278.02	7170347.00	2.59	7205.73	6935.50
1	7	1	6422.00	2824.00	157.55	0	Spot (Block1, Row1, Column7)	8617.78	8500.00	959.55	0.01	0.11	6497.00	6546.37	6497.00	458.81	0.00	0.07	99.00	90.00	0.00	2003.00	2120.78	5894560.00	4.51	7268.44	7279.50
1	8	1	6723.00	2824.00	191.20	0	Spot (Block1, Row1, Column8)	7722.84	7674.00	780.55	0.00	0.10	6801.00	6889.66	6801.00	717.54	0.01	0.10	58.00	19.00	0.00	873.00	921.84	7954521.00	1.16	7120.24	7098.50
1	1	2	4607.00	3116.00	200.40	0	Spot (Block1, Row2, Column1)	6951.22	6918.50	424.15	0.00	0.06	6597.00	6671.28	6597.00	575.40	0.00	0.09	32.00	2.00	0.00	321.50	354.22	7938293.00	0.49	6691.32	6675.50
1	2	2	4901.00	3119.00	117.40	0	Spot (Block1, Row2, Column2)	7237.06	7163.50	605.49	0.00	0.08	6339.00	6362.21	6339.00	525.71	0.00	0.08	70.00	33.00	0.00	824.50	898.06	2619817.00	1.66	6816.30	6776.00
1	3	2	5229.00	3121.00	167.10	0	Spot (Block1, Row2, Column3)	6933.54	6886.50	464.07	0.00	0.07	6230.00	6257.96	6230.00	474.71	0.00	0.08	64.00	28.00	0.00	656.50	703.54	5366562.00	1.42	6519.23	6424.00
