ATF	1.0
30	28
"Checksum_ImageFile=8216b6f9c9fccbd57b08f90521ea1c84"
"Checksum_ResultFile=feaab0b4bc256863c1439a815f4857a3"
"Type=Mapix Results 2"
"DateTime=2021/04/02 17:50:58"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0141_12860A01-D12_IgM_785\Joseph_2021-04-02_17h50m45_5µm_785nmGain100.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0141_12860A01-D12_IgM_785\Joseph_2021-04-02_17h50m45_5µm_785nmGain100.jpg"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4410, 2625"
"JpegBrightness=37"
"JpegContrast=14"
"JpegBalance=0"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.5"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0"
"PMTGain=100"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"
1	1	1	4613.00	2825.00	164.95	0	Spot (Block1, Row1, Column1)	64925.90	65535.00	2961.28	0.00	0.05	12455.00	12561.35	12455.00	902.45	0.00	0.07	100.00	100.00	93.93	53080.00	52470.90	49214328.00	58.02	29365.77	27844.50
1	2	1	4882.00	2829.00	192.75	0	Spot (Block1, Row1, Column2)	14033.00	13670.00	1849.57	0.01	0.13	11826.00	11909.41	11826.00	883.35	0.00	0.07	82.00	53.00	0.00	1844.00	2207.00	14762715.00	2.40	12881.88	12665.50
1	3	1	5214.00	2830.00	162.50	0	Spot (Block1, Row1, Column3)	12773.87	12609.50	1060.52	0.01	0.08	11530.00	11587.51	11530.00	650.61	0.00	0.06	72.00	40.00	0.00	1079.50	1243.87	9376019.00	1.82	11899.75	11844.00
1	4	1	5509.00	2831.00	193.25	0	Spot (Block1, Row1, Column4)	13554.70	13437.00	1137.77	0.00	0.08	11772.00	11810.48	11772.00	665.74	0.00	0.06	82.00	60.00	0.00	1665.00	1782.70	14354424.00	2.62	12360.35	12245.00
1	5	1	5824.00	2819.00	200.45	0	Spot (Block1, Row1, Column5)	13520.29	13443.50	956.32	0.00	0.07	12058.00	12164.85	12058.00	834.03	0.00	0.07	71.00	39.00	0.00	1385.50	1462.29	15359051.00	1.63	12575.74	12534.00
1	6	1	6096.00	2820.00	177.70	0	Spot (Block1, Row1, Column6)	14319.86	14184.50	1300.44	0.00	0.09	12158.00	12208.36	12158.00	729.94	0.00	0.06	92.00	71.00	0.00	2026.50	2161.86	12572835.00	2.89	13183.95	12920.00
1	7	1	6414.00	2824.00	159.15	0	Spot (Block1, Row1, Column7)	15692.67	15497.50	1474.26	0.01	0.09	12044.00	12103.94	12044.00	743.23	0.00	0.06	98.00	94.00	0.00	3453.50	3648.67	10922097.00	4.83	13377.65	13227.00
1	8	1	6721.00	2823.00	177.00	0	Spot (Block1, Row1, Column8)	14351.51	14236.00	1362.92	0.00	0.09	12679.50	12790.47	12679.50	1150.48	0.00	0.09	62.00	25.00	0.00	1556.50	1672.01	12571920.00	1.36	13392.15	13355.00
1	1	2	4621.00	3122.00	226.75	0	Spot (Block1, Row2, Column1)	12644.95	12619.00	598.90	0.00	0.05	12208.00	12327.15	12208.00	821.96	0.00	0.07	23.00	4.00	0.00	411.00	436.95	18663940.00	0.39	12300.63	12182.50
1	2	2	4899.00	3119.00	134.90	0	Spot (Block1, Row2, Column2)	13172.50	13070.50	894.44	0.00	0.07	11731.00	11779.68	11731.00	934.58	0.00	0.08	71.00	18.00	0.00	1339.50	1441.50	6480871.00	1.49	12369.05	12390.00
1	3	2	5215.00	3122.00	197.45	0	Spot (Block1, Row2, Column3)	12689.53	12668.50	682.48	0.00	0.05	11502.00	11557.95	11502.00	786.84	0.00	0.07	69.00	31.00	0.00	1166.50	1187.53	14009245.00	1.44	12047.89	11912.00
1	4	2	5527.00	3135.00	200.95	0	Spot (Block1, Row2, Column4)	13381.11	13299.00	817.51	0.00	0.06	12044.00	12135.76	12044.00	820.68	0.00	0.07	68.00	36.00	0.00	1255.00	1337.11	15348128.00	1.52	12637.40	12534.00
1	5	2	5819.00	3127.00	208.50	0	Spot (Block1, Row2, Column5)	24497.91	24517.00	3904.36	0.00	0.16	12609.00	12703.45	12609.00	914.43	0.00	0.07	100.00	99.00	0.00	11908.00	11888.91	30328394.00	12.90	16364.56	16001.00
1	6	2	6098.00	3125.00	172.35	0	Spot (Block1, Row2, Column6)	14331.95	14179.00	893.87	0.00	0.06	12559.00	12630.86	12559.00	814.21	0.00	0.06	87.00	49.00	0.00	1620.00	1772.95	11895517.00	2.09	13373.20	13259.50
1	7	2	6404.00	3126.00	195.70	0	Spot (Block1, Row2, Column7)	13016.51	12877.00	743.44	0.00	0.06	12277.00	12315.53	12277.00	830.32	0.00	0.07	40.00	12.00	0.00	600.00	739.51	14070849.00	0.84	12747.38	12598.00
1	8	2	6709.00	3167.00	158.60	0	Spot (Block1, Row2, Column8)	13243.62	13135.50	736.01	0.00	0.06	12512.00	12612.46	12512.00	1117.81	0.00	0.09	34.00	2.00	0.00	623.50	731.62	9191072.00	0.56	12742.17	12655.00
1	1	3	4620.00	3418.00	160.20	0	Spot (Block1, Row3, Column1)	14889.04	14886.00	1518.36	0.00	0.10	11800.00	11982.15	11800.00	1714.24	0.01	0.14	86.00	38.00	0.00	3086.00	3089.04	10541437.00	1.70	13225.72	13238.00
1	2	3	4923.00	3429.00	158.45	0	Spot (Block1, Row3, Column2)	13029.44	12894.00	783.95	0.00	0.06	11594.00	11655.91	11594.00	905.15	0.00	0.08	77.00	24.00	0.00	1300.00	1435.44	9029405.00	1.52	12293.09	12143.00
1	3	3	5207.00	3426.00	129.85	0	Spot (Block1, Row3, Column3)	17565.99	16341.00	4010.38	0.03	0.23	11734.00	11757.09	11734.00	777.25	0.00	0.07	100.00	99.00	0.00	4607.00	5831.99	7957393.00	7.47	14187.86	13965.00
1	4	3	5518.00	3417.00	201.40	0	Spot (Block1, Row3, Column4)	14352.05	14171.00	1269.37	0.01	0.09	12168.00	12274.02	12168.00	757.17	0.00	0.06	89.00	67.00	0.00	2003.00	2184.05	16504861.00	2.74	12978.34	13046.00
1	5	3	5828.00	3427.00	161.40	0	Spot (Block1, Row3, Column5)	15741.32	15360.50	2150.69	0.01	0.14	12641.00	12722.30	12641.00	808.86	0.00	0.06	98.00	84.00	0.00	2719.50	3100.32	11365235.00	3.73	13692.99	13660.50
1	6	3	6109.00	3407.00	170.20	0	Spot (Block1, Row3, Column6)	14579.33	14386.00	876.59	0.01	0.06	12694.00	12766.23	12694.00	855.92	0.00	0.07	88.00	48.00	0.00	1692.00	1885.33	11765516.00	2.12	13496.08	13297.00
1	7	3	6410.00	3403.00	182.95	0	Spot (Block1, Row3, Column7)	14075.85	13900.50	933.18	0.01	0.07	12229.00	12287.16	12229.00	834.14	0.00	0.07	86.00	50.00	0.00	1671.50	1846.85	13287605.00	2.14	13077.45	13123.50
